english,chinese,examples
tuck,"1) put sth. into a small space, esp. in order to protect, hide, carry, or hold it 把···放起来",e.g. [[Tuck]] your gloves in your pocket so that you don't lose them.；e.g. The new housekeeper [[tucked]] the bottom of the sheet under the mattress as she was taught to.
tuck,"2) push a loose end of a piece of clothing or material into a particular place or position, esp. to make it tidy or comfortable 把（衣服等的末端）塞进",e.g. [[Tuck]] your gloves in your pocket so that you don't lose them.；e.g. The new housekeeper [[tucked]] the bottom of the sheet under the mattress as she was taught to.
casual,1) without any serious interest or attention 不认真的；随便的,"e.g. He gave us a [[casual]] glance as he walked by, but didn't stop.；e.g. His eyes were angry, though he sounded [[casual]]."
casual,"2) relaxed and not worried, or seeming not to care about sth. 漫不经心的；不放在心上的","e.g. He gave us a [[casual]] glance as he walked by, but didn't stop.；e.g. His eyes were angry, though he sounded [[casual]]."
serendipity,[U] (literary) when interesting or valuable discoveries are made by accident （有趣或有价值事物的）碰巧发现，机缘巧合,"e.g. Meeting her like that, and there of all places, was true [[serendipity]]!"
devour,"1) read sth. quickly and eagerly, or watch sth. with great interest 如饥似渴地阅读；津津有味地看",e.g. She spent several evenings [[devouring]] the science fiction books borrowed from the library.；e.g. After the tennis match the boys [[devoured]] the sandwiches in seconds.
devour,2) eat sth. quickly because you are very hungry 狼吞虎咽地吃,e.g. She spent several evenings [[devouring]] the science fiction books borrowed from the library.；e.g. After the tennis match the boys [[devoured]] the sandwiches in seconds.
throes,[pl.] (in the ~ of sth.) (fml.) in the middle of a very difficult situation 处于···的困境中,e.g. The country is presently in the [[throes]] of a profound economic crisis.
transition,"[C, U] (fml.) when sth. changes from one form or state to another 过渡；转变；变迁","e.g. Sometimes, making the [[transition]] from adolescence (青春期) to adulthood can be painful.；e.g. Having been in the position for over 10 years, Jack will finally [[transition]] to his new role next month."
transition,change to a new state or start using sth. new 过渡；转变,"e.g. Sometimes, making the [[transition]] from adolescence (青春期) to adulthood can be painful.；e.g. Having been in the position for over 10 years, Jack will finally [[transition]] to his new role next month."
cathedral,[C] the main church of a particular area under the control of a bishop 大教堂；教区总教堂,e.g. The old city around the [[cathedral]] is the most colorful part of town.
babushka,[C] （来自俄语）老婆婆；祖母,
toothbrush,[C] 牙刷,
metro,(pl. metros) 地铁,
telling,"showing the true character or nature of sb. / sth., often without being intended 说明问题的；显露真相的",e.g. The tomb stands today as a [[telling]] memorial to the period.
snapshot,1) a piece of information that quickly gives you an idea of what the situation is like at a particular time 简要描述；简介,e.g. The book gives us a [[snapshot]] of life in the Middle Ages.；e.g. He takes [[snapshots]] with a simple camera.
snapshot,2) a photograph taken quickly and often not very skillfully 快照（通常技巧不高）,e.g. The book gives us a [[snapshot]] of life in the Middle Ages.；e.g. He takes [[snapshots]] with a simple camera.
capitalism,[U] 资本主义,
virtually,1) almost; practically 几乎,"e.g. He was [[virtually]] unknown in the community before running for office.；e.g. With the new technology, the tour of a museum can be done [[virtually]]."
virtually,"2) on a computer, rather than in the real world 虚拟地；模拟地","e.g. He was [[virtually]] unknown in the community before running for office.；e.g. With the new technology, the tour of a museum can be done [[virtually]]."
fossil,[C] 化石,
fossilize,1) (usu. passive) become or form a fossil by being preserved in rock （使）成化石，石化,"e.g. In Wyoming, I visited a rock shop made entirely of [[fossilized]] dinosaur bones.；e.g. Most couples, however [[fossilized]] their relationship, have some interests in common."
fossilize,"2) if people, ideas, systems, etc. fossilize or are fossilized, they never change or develop, even when there are good reasons why they should change（使）（人、思想、体制等）僵化","e.g. In Wyoming, I visited a rock shop made entirely of [[fossilized]] dinosaur bones.；e.g. Most couples, however [[fossilized]] their relationship, have some interests in common."
volcanic,relating to or caused by a volcano 火山的；由火山作用引起的,e.g. Geologists understand many of the factors that cause [[volcanic]] eruptions.
mudflow,[C] 泥流,
antidote,1) sth. that makes an unpleasant situation better 缓解方法；对抗手段,e.g. Regular exercise is the best [[antidote]] to tiredness and depression.；e.g. There is no known [[antidote]] to a bite from this snake.
