english,chinese,examples
millennial,"[C, usu. pl.] a person who was born in the 1980s, 1990s, or early 2000s 千禧一代",e.g. [[Millennials]] have grown up with the Internet and can't imagine a world without it.
reminisce,talk or think about pleasant events in your past 谈论， 追忆（快乐的往事）,"e.g. We sat side by side, [[reminiscing]] about the past."
regretfully,feeling sad because you do not want to do what you are doing 遗憾地；惋惜地,e.g. I must [[regretfully]] decline your invitation.
remark,"say sth., esp. about sth. you have just noticed 评论，谈到，说起（尤指刚察觉的事）","e.g. Anderson left the table, [[remarking]] that he had some work to do.；e.g. He made a number of rude [[remarks]] about the food."
remark,sth. that you say when you express an opinion or say what you have noticed 言论；意见；评论,"e.g. Anderson left the table, [[remarking]] that he had some work to do.；e.g. He made a number of rude [[remarks]] about the food."
phenomenon,"1) a fact or an event in nature or society, esp. one that is not fully understood 现象",e.g. Language is a social and cultural [[phenomenon]].；e.g. The rock band was a [[phenomenon]] — nobody had heard anything like them before.
phenomenon,2) sb. / sth. that is very unusual because of a rare quality or ability that they have 非凡的人（事物）；奇才；奇事,e.g. Language is a social and cultural [[phenomenon]].；e.g. The rock band was a [[phenomenon]] — nobody had heard anything like them before.
outpouring,1) a very large number of things produced at the same time 大量涌现；迸发,e.g. Technology is offering us an [[outpouring]] of opportunities that will help us stay curious and creative.；e.g. The news of his death produced an instant [[outpouring]] of grief.
outpouring,2) an uncontrolled expression of strong feelings （强烈感情的）流露，倾吐,e.g. Technology is offering us an [[outpouring]] of opportunities that will help us stay curious and creative.；e.g. The news of his death produced an instant [[outpouring]] of grief.
spontaneous,"happening or done in a natural, often sudden way, without any planning or without being forced 自发的；自然而生的；一时冲动的",e.g. The audience broke into [[spontaneous]] applause.
amazement,[U] a feeling of great surprise 吃惊；惊奇,"e.g. Much to the [[amazement]] of her family, she left school to pursue her acting career."
hardship,"[C, U] a condition of life that causes difficulty or suffering 艰苦；贫困",e.g. People suffered many [[hardships]] during that long winter.
downturn,"[C, usu. sing.] a reduction in economic, business, or other activity （经济、商业等活动的）下降，衰退",e.g. There is evidence of a [[downturn]] in the housing market.
per annum,(abbr. p.a.) (fml.) for each year 每年,e.g. The country exports goods worth $600 million [[per annum]].
sole,(only before noun) only 唯一的,e.g. The story was published with the [[sole]] purpose of selling newspapers.
capacity,1) sb.'s ability to do sth. 能力；才能,"e.g. They are worried about their [[capacity]] to invest for the future.；e.g. The newly-built theater has a seating [[capacity]] of 2,000."
capacity,"2) the amount of space a container, room, etc. has to hold things or people 容量；容积；容纳人数","e.g. They are worried about their [[capacity]] to invest for the future.；e.g. The newly-built theater has a seating [[capacity]] of 2,000."
youngster,[C] a child or young person 孩童；年轻人,e.g. These courses are specially designed for [[youngsters]] aged seven to nine.
sophisticated,"having a lot of experience of life, and good judgment about socially important things such as art and fashion. 见多识广的；老练的；练达的",e.g. Mark is a smart and [[sophisticated]] young man.
lifestyle,[C] the way in which a person or a group of people lives and works 生活方式,e.g. Many people are trying to adopt a healthy [[lifestyle]] these days.
individualistic,1) different from other people or things; doing things in your own way 特立独行的；独特的,e.g. His music is highly [[individualistic]] and may not appeal to everyone.；e.g. A more [[individualistic]] society is also one with much more loneliness.
individualistic,2) believing that what individual people want is more important than what society or the government wants 个人主义的,e.g. His music is highly [[individualistic]] and may not appeal to everyone.；e.g. A more [[individualistic]] society is also one with much more loneliness.
entrepreneurial,having the qualities that are needed to succeed as an entrepreneur 具有创业素质的,"e.g. The successful candidate will be an [[entrepreneurial]], goal-oriented problem solver."
confident,1) sure that you have the ability to do things well or deal with situations successfully 有信心的；自信的,e.g. I feel much more [[confident]] about myself and my abilities these days.；e.g. We are [[confident]] that next year's profits will be higher.
confident,2) (not before noun) sure that sth. will happen in the way that you want or expect 确信的；有把握的,e.g. I feel much more [[confident]] about myself and my abilities these days.；e.g. We are [[confident]] that next year's profits will be higher.
considerable,"fairly large, esp. large enough to have an effect or be important 相当大的（尤指能产生影响或很重要）",e.g. [[Considerable]] progress has been made in finding a cure for the disease.
daunting,frightening in a way that makes you feel less confident 使人气馁的；吓人的,e.g. They were faced with the [[daunting]] task of restoring the house.
navigate,1) understand or deal with sth. difficult 理解，应付（困难复杂的情况）,e.g. This outlook helped her [[navigate]] through her later years with success.；e.g. There weren't any road signs to help us [[navigate]] through the maze of one-way streets.
navigate,2) find which way you need to go while traveling from one place to another （为···）导航，指引方向,e.g. This outlook helped her [[navigate]] through her later years with success.；e.g. There weren't any road signs to help us [[navigate]] through the maze of one-way streets.
attribute,1) believe or say that sb. / sth. has a particular quality 认为···具有···的特征,e.g. People were beginning to [[attribute]] superhuman qualities to him.；e.g. The fall in the number of deaths from heart disease is generally [[attributed]] to improvements in diet.
attribute,2) believe or say that a situation or event is caused by sth. 把···归因于···,e.g. People were beginning to [[attribute]] superhuman qualities to him.；e.g. The fall in the number of deaths from heart disease is generally [[attributed]] to improvements in diet.
savvy,(infml.) knowing a lot about sth. and able to make good judgments about it 有见识的；在行的,e.g. She bought the laptop on the advice of a computer-[[savvy]] friend.；e.g. He's obviously got a lot of political [[savvy]].
savvy,[U] (infml.) practical knowledge and ability 实际知识和能力；见识,e.g. She bought the laptop on the advice of a computer-[[savvy]] friend.；e.g. He's obviously got a lot of political [[savvy]].
progressive,"supporting new or modern ideas and methods, esp. in politics and education （尤指在政治和教育方面） 进步的，先进的",e.g. We're looking for [[progressive]] ideas to move the company forward.
deem,(fml.) think of sth. in a particular way or as having a particular quality 认为；视为,e.g. These buildings are [[deemed]] to be of architectural importance and must be protected.
self-centered,(BrE self-centred) tending to think only about yourself and not thinking about the needs or feelings of other people 自我中心的；自私的,e.g. She sounds totally [[self-centered]] and is showing you no consideration.
entitled,"feeling that you have the right to do or have what you want without having to work for it or deserve it, just because of who you are （由于自身身份）认为应得的，有权利的，有资格的",e.g. I don't want to make my kids feel [[entitled]] only because I am a teacher at this school.
consumption,1) the act of buying and using products 购买；消费,"e.g. These products are not for national [[consumption]], but for export.；e.g. The government is determined to reduce the UK's total energy [[consumption]]."
consumption,"2) the amount of energy, oil, electricity, etc. that is used （能源、油、电等的）消耗量","e.g. These products are not for national [[consumption]], but for export.；e.g. The government is determined to reduce the UK's total energy [[consumption]]."
forecast,"(forecast, forecast; forecasted, forecasted) say what you expect to happen in the future 预测；预报",e.g. They [[forecast]] a large drop in unemployment over the next two years.；e.g. The weather [[forecast]] said it was going to rain.
forecast,"[C] a statement of what is expected to happen in the future, esp. in relation to a particular event or situation 预测；预报",e.g. They [[forecast]] a large drop in unemployment over the next two years.；e.g. The weather [[forecast]] said it was going to rain.
aspiration,"[C, usu. pl., U] a strong desire to have or achieve sth. 强烈愿望；志向；抱负","e.g. When I was 12, I had [[aspirations]] to play professional basketball."
furthermore,(fml.) in addition to what has already been said 此外；而且；不仅如此；更有甚者,"e.g. She always arrives on time; [[furthermore]], her work is always excellent."
e-commerce,[U] (electronic commerce) the business of buying and selling of goods and services on the Internet 电子商务,e.g. Travel companies have moved from the traditional bricks-and-mortar (实体的) environment to [[e-commerce]].
trendy,influenced by the most fashionable styles and ideas 时髦的；受新潮思想影响的,e.g. He writes for some [[trendy]] magazine.
craze,"[C] a fashion, game, type of music, etc. that becomes very popular for a short time 时尚；一时的狂热","e.g. If history is any guide, this latest diet for losing weight is just another [[craze]]."
other than,apart from 除了···以外,e.g. Are you studying any science subjects other than chemistry?
in / by contrast (to / with),used when you are comparing two things or people and saying that the second one is very different from the first 和···形成对照；相比之下,"e.g. The company lost $13 million this year, in contrast to a profit of $15 million last year."
as compared to / with,"used for talking about the ways in which two things are different, or about the ways in which sth. has changed 相比于","e.g. Unemployment in the region currently stands at 10.1 percent, as compared to a national average of 7.7 percent."
speak to,(figuratively) resonate with; feel emotionally relevant to 与···产生共鸣；与···产生情感联结,"e.g. If this story [[spoke to]] you, I very much want to hear from you."
Melbourne,墨尔本 (澳大利亚城市，位于维多利亚州),
