english,chinese,examples
cabin,[C] （尤指建于林中或山上的）小木屋,
meteor,[C] 流星,
smoky,"having the appearance, smell, or taste of smoke 似烟的；有烟熏味的","e.g. Standing on the platform, we could see the [[smoky]] outline of the farther shore."
trail,[C] a long line or a series of marks that have been left by sb. / sth. 痕迹,e.g. The wounded elephant left a [[trail]] of blood behind it.；e.g. A plane [[trailing]] a banner was circling overhead.
trail,"pull sth. behind you, esp. along the ground, or be pulled in this way 拖；拉；拖在后面",e.g. The wounded elephant left a [[trail]] of blood behind it.；e.g. A plane [[trailing]] a banner was circling overhead.
sugary,like sugar 糖状的；粒状表面的,"e.g. Rhyolites (流纹岩) are rocks with a rather distinctive [[sugary]] texture or ""feel."""
winter solstice,[C] 冬至,
irreplaceable,"too special, valuable, or unusual to be replaced by anything else （因太特别、贵重或少见而）不可替代的，独一无二的",e.g. The works of art that were burned in the big fire are [[irreplaceable]].
rhythm,1) a regular pattern of changes 规则变化；节律模式；节奏,e.g. Long journeys can disrupt your body's natural [[rhythm]].；e.g. She started moving to the [[rhythm]] of the music.
rhythm,2) a regular repeated pattern of sounds or movements 节律；节拍；节奏,e.g. Long journeys can disrupt your body's natural [[rhythm]].；e.g. She started moving to the [[rhythm]] of the music.
nightfall,[U] the time when it begins to get dark in the evening 黄昏；傍晚,"e.g. Don't worry, Michael. We'll all be back by [[nightfall]]."
night shift,"[C] a period of time at night when people regularly work, esp. in a factory （尤其工厂的）夜班","e.g. She is on the [[night shift]] this week, but on the day shift next week."
probable,"likely to exist, happen, or be true 可能存在的；可能发生的；很可能的",e.g. The [[probable]] result of global warming will be a rise in sea levels.
reduction,"[C, U] a decrease in the amount, size, or price of sth., or the act of decreasing sth. （数量、尺寸或价格的）减少，缩小，下降",e.g. The company promised they would make no staff [[reductions]] for at least two years.
hormone,[C] 激素；荷尔蒙,
melatonin,[U] 褪黑激素（有时用作安眠药）,
disorder,[C] (medical) a mental or physical illness which prevents part of your body from working properly 失调；紊乱；障碍,e.g. After weeks of tests they discovered that he had a rare [[disorder]] of the lung.
diabetes,[U] 糖尿病,
obesity,[U] a condition in which sb. is too fat in a way that is dangerous for their health 过度肥胖,e.g. [[Obesity]] can lead to heart disease and other health problems.
migrate,"(of birds, animals, etc.) travel regularly from one part of the world to another （鸟、兽等）迁徙",e.g. More than two million ducks [[migrate]] to the lake each fall.
sea turtle,[C] (AmE also turtle) 海龟,
pest,[C] a small animal or insect that destroys crops or food supplies （毁坏庄稼或食物的）有害小动物，害虫,e.g. I hope it won't be long before we can get rid of the [[pests]] altogether.
bulldozer,[C] 推土机,
wreck,damage or destroy sth. 破坏；损坏；毁坏,e.g. The building had been [[wrecked]] by the explosion.
habitat,"[C, U] the natural home of a plant or animal （动植物的）生活环境；（动物的）栖息地",e.g. These measures will protect the [[habitat]] of endangered species such as wolves.
disrupt,prevent sth. from continuing in its usual way by causing problems 扰乱；使混乱,e.g. Climate change and extreme weather could seriously [[disrupt]] the agricultural economy.
ecosystem,"[C] all the animals and plants in a particular area, and the way in which they are related to each other and to their environment 生态系统",e.g. Many species of burrowing (掘洞的) insects are essential for maintaining a healthy soil [[ecosystem]].
collapse,1) suddenly fail or become too weak to continue 突然失败；垮掉；崩溃,e.g. The country's auto industry nearly [[collapsed]] due to increased foreign competition.；e.g. The roof [[collapsed]] under the weight of the snow.
collapse,"2) fall down or fall in suddenly, often after breaking apart 倒坍；塌下",e.g. The country's auto industry nearly [[collapsed]] due to increased foreign competition.；e.g. The roof [[collapsed]] under the weight of the snow.
illuminate,"make a light shine on sth., or fill a place with light 照射；照亮",e.g. A small path was [[illuminated]] by orange lamps concealed in the flower beds.
intimate,1) private and friendly so that you feel comfortable 幽静舒适的；温馨的,e.g. The guests at the country club always enjoy its [[intimate]] atmosphere.；e.g. We're not on [[intimate]] terms with our neighbors.
intimate,2) having an extremely close friendship 亲密的；密切的,e.g. The guests at the country club always enjoy its [[intimate]] atmosphere.；e.g. We're not on [[intimate]] terms with our neighbors.
flame,"[C, U] hot bright burning gas that you see when sth. is on fire 火焰","e.g. They sat around the campfire, watching the flickering (摇曳的) [[flames]]."
solitude,"[U] the state of being completely alone, esp. when this is pleasant or relaxing 独处","e.g. He spent his free time in [[solitude]], reading or walking in the hills."
invaluable,extremely useful 极有价值的,e.g. His experience of teaching in overseas schools proved [[invaluable]].
soulful,"expressing deep, usu. sad, emotions 深情的；伤感的","e.g. Jeanne was a romantic, mysterious young woman with [[soulful]] blue eyes and brown skin."
starry,having many stars 布满星星的,e.g. We had our dinner on the grassland underneath a [[starry]] sky.
blanket,1) [sing.] a thick covering or area of sth. 厚（的覆盖）层,e.g. The valley was covered with a [[blanket]] of mist.
blanket,2) [C] 毯子；毛毯,e.g. The valley was covered with a [[blanket]] of mist.
diminish,become or make sth. become smaller or less （使）减小；（使）减少,e.g. Her enthusiasm for knitting is by now [[diminishing]] fast.
monument,"[C] a building, statue, or other large structure that is built to remind people of an important event or famous person 纪念碑；纪念塔；纪念馆",e.g. These are the [[monuments]] to generations of individual farmers ploughing (犁) their fields.
in the making,in the process of becoming sth. or being made 在形成中；在生产中,e.g. His book was finally published. He said that it was 10 years [[in the making]].
simply put / to put it simply,used for saying that you are explaining sth. in a clear and simple way 简单地说,"e.g. Anyway, simply put, we still owe them a large amount of money."
in short supply,"available only in small quantities, so that there is not enough 供应不足；短缺",e.g. Electricity and fresh water are [[in short supply]] on the island.
Minnesota,明尼苏达州（位于美国北部）,
the Milky Way,银河,
the World Health Organization,(WHO) 世界卫生组织,
the American Medical Association,(AMA) 美国医学会,
Vincent van Gogh,文森特・凡・高（荷兰画家）,
NASA,(National Aeronautics and Space Administration) 美国国家航空航天局,
