english,chinese,examples
salmon,"[C, U] (pl. salmon) 鲑鱼（肉）；三文鱼（肉）；大麻哈鱼（肉）",e.g. The [[salmon]] swim upstream to spawn in late summer or fall.
pal,[C] (infml.) a close friend 密友；好友,e.g. Margherita and I have been [[pals]] since we were at primary school.
skitter,"(always + ad. / prep.) move very quickly and lightly, like a small animal （像小动物那样）轻快地跑","e.g. Shaking the snow off their hair and coats, the girls [[skittered]] up the stairs into the house."
highway,[C] (esp. AmE) a wide main road that joins one town to another 公路,"e.g. The interstate [[highways]] are usually faster, but smaller roads can be more scenic (景色优美的)."
windup,"(BrE wind-up) (only before noun) relating to a machine or toy that you turn part of several times, in order to make it move or start working （机器或玩具）装有发条的，用手柄操作的","e.g. Directly in front of him were two [[windup]] monkeys, one with a guitar and the other with a drum."
spray,(of liquid or small bits) quickly scatter through the air （液体或碎屑）飞溅，飞散,e.g. The water [[sprayed]] from the hose (水龙带) and onto the grassland.；e.g. Someone had [[sprayed]] blue paint all over his car.
spray,force liquid out of a container so that it comes out in a stream of very small drops and covers an area 喷；喷洒,e.g. The water [[sprayed]] from the hose (水龙带) and onto the grassland.；e.g. Someone had [[sprayed]] blue paint all over his car.
flop,(always + ad. / prep.) fall or drop heavily 沉重地落下,e.g. I finally got home and [[flopped]] down on the bed.
magnetic,concerning or produced by magnetism 磁的；磁性的,e.g. Pigeons navigate less accurately when the Earth's [[magnetic]] field is disturbed.
alas,(fml.) used when mentioning a fact that you wish was not true 不幸地（表示但愿并非如此）,"e.g. Donald, [[alas]], died last winter, even though he had shown signs of recovery for a while."
classification,"[C, U] a process in which you put sth. into the group or class it belongs to 归类；分类；分级",e.g. The [[classification]] of books in the library helps you find the books you want.
rainbow trout,"[C, U] (pl. rainbow trout or rainbow trouts) 虹鳟",
exquisitely,in a very beautiful and delicate way 精美地；精致地,e.g. She could not take her eyes away from the [[exquisitely]] charming portrait.
rocky,covered with rocks or made of rock 岩石覆盖的；由岩石形成的,e.g. The small village sits on a [[rocky]] hill overlooking the sea.
Omega-3,[U] 奥米伽3（一组多元不饱和脂肪酸）,
staple,[C] a food that is needed and used all the time 基本食物；主食,"e.g. The aid workers are distributing corn, milk, vegetables, and other [[staples]]."
spawn,produce eggs in large quantities at the same time （鱼或蛙）大量产卵,e.g. The salmon swim upstream to [[spawn]] in late summer or fall.；e.g. New technology has [[spawned]] new business opportunities.
spawn,make a series of things happen or start to exist 使大量出现；使大量生产；酿成,e.g. The salmon swim upstream to [[spawn]] in late summer or fall.；e.g. New technology has [[spawned]] new business opportunities.
cod,"[C, U] (pl. cod) 鳕鱼（肉）",
backfire,(of a plan or action) have the opposite effect to the one you intended （计划或行动）发生意外，产生事与愿违的结果,e.g. The company's new policy [[backfired]] when a number of employees threatened to quit.
coastal,(only before noun) in the sea or on the land near the coast 近海的；沿海的；海岸的,"e.g. This kind of fish is found worldwide in tropical oceans, at the edge of [[coastal]] waters and in the open sea."
thrive,become very strong and healthy or very successful 茁壮成长；兴旺；欣欣向荣,e.g. It is still unclear whether these companies will continue to [[thrive]] in the future.
abundance,"[U, sing] a large quantity of sth. 充裕；丰富",e.g. One quality that the team possessed in [[abundance]] was fighting spirit.
blessing,"[C] sth. that improves your life, helps you in some way, or makes you happy 幸事；幸运；福气","e.g. This modern medical equipment allows patients to live a more normal life, which is a real [[blessing]]."
diner,[C]（餐厅的）用餐者,
fattiness,[U] the state of containing a lot of fat 富含脂肪,"e.g. With much protein but little [[fattiness]], beef is the healthy food sought by many people."
moist,"slightly wet, esp. in a way that is pleasant or suitable 潮湿的；湿润的",e.g. This fruit cake will keep [[moist]] for several days if it is stored in the refrigerator.
overcook,cook food for too long 将（食物）煮得过熟,e.g. A customer complained that the vegetables were [[overcooked]].
roast,"cook sth., such as meat, in an oven or over a fire, or cook in this way 炙，烤（肉等）",e.g. I personally would rather [[roast]] a chicken whole.
Norwegian,[C] 挪威人,
surplus,"[C, U] an amount of sth. that is more than what is needed or used 剩余；过剩；剩余额；多余的量",e.g. This country produces more oil than it needs and sells the [[surplus]] to the rest of the world.
incorporate,"include sth. as part of a group, system, plan, etc. 把 （某事物）并入，包含",e.g. We've [[incorporated]] many environmentally friendly features into the design of the building.
flesh,[U] （人或动物的）肉,
sushi,[U] 寿司,
avocado,[C] (BrE also avocado pear) (pl. avocados) 鳄梨；牛油果,
marketing,"[U] the activity of deciding how to advertise a product, what price to charge for it, etc., or the type of job in which you do this 促销；营销；销售",e.g. The reason their cars sold so well was that they had a brilliant [[marketing]] strategy.
antibiotic,"[C, usu. pl.] 抗生素",
overtake,"(overtook, overtaken) develop or increase more quickly than sb. / sth. else and become more successful, more important, or more advanced than them （发展或增长）超越，超过",e.g. Television soon [[overtook]] the cinema as the most popular form of entertainment.
fragile,"weak or uncertain, and likely to become worse under pressure 脆弱的",e.g. This area has a range of [[fragile]] ecosystems and rare plants.
belly,[C] 腹部；肚子,
domesticated,(of animals or plants) brought or kept under control or cultivation （动物或植物）驯化的,"e.g. A [[domesticated]] animal, accustomed to being fed by hand, may not be able to live without man."
breed,[C] a particular type of animal that is different from others but not so different that it is another species （动物的）品种,e.g. What [[breed]] of dog is that? I've never seen one like it before.；e.g. Many animals [[breed]] only at certain times of the year.
breed,(of animals) mate in order to have babies （动物）繁殖,e.g. What [[breed]] of dog is that? I've never seen one like it before.；e.g. Many animals [[breed]] only at certain times of the year.
joyride,"[C] an act of driving around for enjoyment in a car, esp. one that was taken without permission and is driven in a dangerous manner 驾车兜风（尤其偷来别人汽车进行危险驾驶）",e.g. A police spokesman said the incident appeared to have been a [[joyride]].
tap into,"make use of a source of energy, knowledge, etc. that already exists 利用 , 发掘，开发（已有的能源、知识等）",e.g. She hopes that additional sources of educational funding can be [[tapped into]] to help the poor children.
to the point,"dealing only with the important subject or idea, and not including any unnecessary discussions 简明恰当的；简洁中肯的",e.g. Her comments on the current issues were brief and to the point.
in large part / measure,(fml.) mostly 基本上；在很大程度上,e.g. Their success was due [[in large part]] to their ability to speak Spanish.
lend oneself to sth.,be suitable for being used in a particular way 适用于某事物,e.g. None of his books really [[lends itself to]] being made into a film.
cut corners,"save time, money, or energy by doing things quickly and not as carefully as you should （为了节约时间、金钱或精力而）马虎从事","e.g. There's a temptation to [[cut corners]] when you're pushed for time, but it's not worth it."
phase out,gradually stop using or providing sth. 逐步停止使用（提供）,e.g. It is highly probable that the subsidy for car manufactures is to be [[phased out]] next year.
in my book,(spoken) said when giving your opinion 依我看；在我看来,"e.g. Well, [[in my book]], if you steal, you deserve to get caught."
GPS,(Global Positioning System) 全球（卫星）定位系统,
Yukon River,育空河（北美洲主要河流之一，流经加拿大和美国）,
the Hudson,(Hudson River) 哈得孙河（主要位于美国纽约州内）,
Maine,/meɪn/,缅因州（位于美国东北部）
Scandinavia,斯堪的纳维亚（欧洲西北部文化区，包括挪威、瑞典和丹麦，有时也包括冰岛、芬兰和法罗群岛）,
Puget Sound,皮吉特湾（位于美国华盛顿州）,
