english,chinese,examples
console,make sb. feel better when they are feeling sad or disappointed 安慰；慰藉,e.g. He [[consoled]] himself that he would see Kate again soon.
heal,"1) become mentally or emotionally strong again after a bad experience, or help sb. to do this （在精神或感情上）（使）复原；（使）坚强起来","e.g. Bianca was the kind of woman who could [[heal]] his soul, if he had time to let her.；e.g. It took a long time for the wounds to [[heal]]."
heal,2) (also heal up) become healthy again; make sth. healthy again （使）康复，复原,"e.g. Bianca was the kind of woman who could [[heal]] his soul, if he had time to let her.；e.g. It took a long time for the wounds to [[heal]]."
coincidence,"[C, U] when two things happen at the same time, in the same place, or to the same people in a way that seems surprising or unusual 巧合；巧事",e.g. I think it is more than [[coincidence]] that all the complaints have come from the same group of people.
therapy,"[C, U] a treatment that helps sb. feel better, grow stronger, etc., esp. after an illness 治疗；疗法",e.g. Many patients receiving these new [[therapies]] respond rapidly to them and get a lot of clinical benefit.
propose,(fml.) suggest sth. as a plan or course of action 提议；建议,e.g. In his speech he [[proposed]] that the UN should set up an emergency center for the environment.
fleeting,(usu. before noun) lasting for only a short time 短暂的；飞逝的,"e.g. For one [[fleeting]] moment, Paula allowed herself to forget her troubles."
betrayal,"[C, U] the act of betraying sb. / sth. or the fact of being betrayed 背叛；出卖",e.g. She wondered if he felt hurt at his best friend's [[betrayal]] but didn't have the courage to ask.
companionship,"[U] when you are with sb. you enjoy being with, and are not alone 友谊；友好交往","e.g. That feeling of [[companionship]] can make a huge difference, especially at a stressful job."
insight,"[C] a sudden clear understanding of sth. or part of sth., esp. a complicated situation or idea （尤指对复杂情况、看法的）顿悟，猛醒",e.g. The article gives us a real [[insight]] into the causes of the present economic crisis.
narrator,[C] 叙述者；讲述者,
monologue,[C] (AmE also monolog) a long speech by one person 长篇独白,e.g. Blogs are not just about one person sharing in a [[monologue]] with everyone else listening.
paradoxically,in a way that is surprising because it is the opposite of what you would expect 自相矛盾地；反常地,"e.g. [[Paradoxically]], the economy is improving although many families complain about the poverty in which they live."
interior,(only before noun) belonging to mental or spiritual life 内心的；精神的,e.g. [[Interior]] monolog is defined as the thoughts you have running through your brain or the things that you silently tell yourself.；e.g. The [[interior]] of the church was dark.
interior,"[C, usu. sing.] the inner part or inside of sth. 内部；里面",e.g. [[Interior]] monolog is defined as the thoughts you have running through your brain or the things that you silently tell yourself.；e.g. The [[interior]] of the church was dark.
universal,existing everywhere or involving everyone 普遍的；全体的；共同的,e.g. Smiling is apparently a [[universal]] sign of friendliness and approval.
universality,[U] the quality or state of being universal 普遍性；通用性,e.g. His lyrics aim for a certain timeless [[universality]].
timelessness,"[U] the quality of not changing as the years go past, or as fashion changes 永恒；不朽","e.g. It is said that all diamonds are symbolic of love, commitment, and [[timelessness]], but adding yellow to the stone gives it even deeper meaning."
subconscious,existing in the mind but not immediately available to consciousness 下意识的；潜意识的,e.g. There are conscious thoughts that you're aware of and [[subconscious]] ones that you're not.
ease,"make or become less severe, difficult, unpleasant, painful, etc. 缓解；减轻",e.g. The school needs to take some measures to [[ease]] the burden on busy teachers.；e.g. He studied hard every day so that he could pass the exam with [[ease]].
ease,[U] the fact that sth. is easy to do 容易；轻易；不费劲,e.g. The school needs to take some measures to [[ease]] the burden on busy teachers.；e.g. He studied hard every day so that he could pass the exam with [[ease]].
empathetic,(also empathic) having the ability to understand sb. else's feelings or emotions 同情的；共鸣的,"e.g. Providing a loving home environment can help the child to become independent, self-confident, and [[empathetic]] toward others."
mild,1) a mild illness or health problem is not serious 不严重的；轻微的,"e.g. She had a [[mild]] headache, and went to bed much earlier than usual.；e.g. I like this kind of cheese because it has a pleasant [[mild]] flavor."
mild,2) not very strong or hot-tasting 不浓烈的；淡的；不辣的,"e.g. She had a [[mild]] headache, and went to bed much earlier than usual.；e.g. I like this kind of cheese because it has a pleasant [[mild]] flavor."
symptom,[C] sth. wrong with your body or mind which shows that you have a particular illness 症状,e.g. Tiredness is one of the most common [[symptoms]] of stress.
bibliotherapist,[C] 阅读治疗专家,
continually,1) in a way that happens repeatedly 多次重复地；频繁地,e.g. We are [[continually]] reassessing the situation.；e.g. The telephone has been ringing [[continually]] in the office all morning.
continually,2) in a way that continues for a long time without stopping 持续地；不间断地,e.g. We are [[continually]] reassessing the situation.；e.g. The telephone has been ringing [[continually]] in the office all morning.
grieve,"feel extremely sad, esp. because sb. you love has died （尤指因所爱之人去世而）感到悲痛","e.g. He died, and every day since then I have [[grieved]] for him."
plot,"[C] the events that form the main story of a book, film, or play （书、电影、戏剧的）情节","e.g. Although the cast (全体演员) was different back then, the [[plot]] was strikingly similar."
fictional,"fictional people, events, etc. are imaginary and from a book or story 虚构的；编造的；小说（中）的",e.g. He has created many lively [[fictional]] characters with his wonderful writing.
retirement,"[C, U] when you stop working, usu. because of your age 退休；退职",e.g. He became a keen golfer after his [[retirement]] from politics.
transient,(fml.) continuing only for a short time 短暂的；转瞬即逝的；一时的,e.g. The trading data show that these events had minimal and [[transient]] effect on the price of gold and silver.
transience,[U] the state of continuing only for a short time 短暂；转瞬即逝,e.g. History is a combination of permanence and [[transience]].
messy,1) (of a situation) complicated and unpleasant to deal with （状况）棘手的,"e.g. If you find yourself in a [[messy]] situation, please take these five strategies to heart.；e.g. Sorry, the place is so [[messy]] because I haven't had time to clear up."
messy,2) dirty or untidy 脏的；乱的,"e.g. If you find yourself in a [[messy]] situation, please take these five strategies to heart.；e.g. Sorry, the place is so [[messy]] because I haven't had time to clear up."
grief,"[U] extreme sadness, esp. because sb. you love has died 悲痛，极度悲伤（尤指因所爱之人去世）",e.g. The [[grief]] she felt over Helen's death was almost unbearable.
despair,[U] a feeling that you have no hope at all 绝望,e.g. A few positive words can turn [[despair]] into hope.
memoir,"1) (fml.) a short piece of writing about a person or place that you knew well, or an event that you experienced 传略；实录",e.g. Her [[memoir]] of her friend will be published soon.；e.g. Angelou's first volume of [[memoirs]] dealt with her childhood.
memoir,2) (~s) [pl.] a book by sb. important and famous in which they write about their life and experiences （名人）回忆录,e.g. Her [[memoir]] of her friend will be published soon.；e.g. Angelou's first volume of [[memoirs]] dealt with her childhood.
narrative,"1) [U] (fml.) the act, process, or skill of telling a story 叙述；叙述技巧",e.g. The novel contains too much dialog and not enough [[narrative]].；e.g. At several points in the [[narrative]] the two stories cross.
narrative,"2) [C] (fml.) a description of events in a story, esp. in a novel （尤指小说中的）叙述，记叙",e.g. The novel contains too much dialog and not enough [[narrative]].；e.g. At several points in the [[narrative]] the two stories cross.
optimistic,believing that good things will happen in the future 乐观的；乐观主义的,e.g. Bankers are cautiously [[optimistic]] about the country's economic future.
