english,chinese,examples
rational,"rational thoughts, decisions, etc. are based on reasons rather than emotions （想法、决定等）合理的，基于理性的",e.g. Parents need to be fully informed before they can make a [[rational]] decision.
biological,relating to the natural processes performed by living things 生物的；与生物有关的,e.g. Breathing and sleeping are examples of [[biological]] rhythms in humans.
genetic,relating to genes or genetics 基因的；遗传学的,e.g. I'm giving a seminar on the latest developments in [[genetic]] research next week.
microbe,[C] an extremely small living thing which can only be seen if you use a microscope. Some microbes can cause diseases. 微生物,e.g. Was it not the duty of the doctor to kill the [[microbes]]?
ridiculous,very silly or unreasonable 愚蠢的；荒唐的；可笑的,e.g. It's [[ridiculous]] that we have to wait two weeks for the operation.
intuitively,in a way that is based on feelings rather than facts or proof 基于直觉地,"e.g. She had sensed, [[intuitively]], that Larry was interested in her."
willingly,in a way that shows you are happy or pleased to do sth. or that you do not object to doing sth. 欣然地；愿意地；乐意地,e.g. Sixty percent of voters said they would [[willingly]] pay higher taxes for better health care.
broccoli,[U] 西兰花,
recoil,move your body quickly away from sb. / sth. because you find them or it frightening or unpleasant 退缩；畏缩,e.g. Howard [[recoiled]] a little at the sharpness in my voice.
horror,"[U] a feeling of great shock, fear, or disgust 震惊；惊恐；厌恶",e.g. The thought of being left alone filled her with [[horror]].
distaste,[U] a feeling that sb. / sth. is unpleasant or morally offensive 不喜欢；厌恶；反感,e.g. She was trying her best not to show her [[distaste]].
variation,"[C, U] a difference between similar things, or a change from the usual amount or form of sth. （相似物体之间的）差异；（数量或形式的）变化，变动",e.g. There might be striking [[variations]] within a species.
taste bud,"[C, usu. pl.] 味蕾",
receptor,"[C] a nerve ending which receives information about changes in light, heat, etc. and causes the body to react in particular ways 感受器；受体","e.g. In the year 2000, taste [[receptors]] that detect this chemical were discovered on the tongue."
thiourea,[U] 硫脲,
plentiful,more than enough in quantity 丰富的；充足的,e.g. I provided a [[plentiful]] supply of games to keep the children occupied.
DNA,[U] (deoxyribonucleic acid) 脱氧核糖核酸,
disgusting,extremely unpleasant and making you feel sick 令人恶心的；使人极其反感的；令人厌恶的,e.g. The kitchen was in a [[disgusting]] state when she left.
