english,chinese,examples
hike,take a long walk in the mountains or countryside （在···）徒步旅行，远足,e.g. His dream is to [[hike]] the world's highest mountain.；e.g. We went for a [[hike]] through the woods on Sunday.
hike,[C] a long walk in the mountains or countryside （在山区或乡间的）徒步旅行，远足,e.g. His dream is to [[hike]] the world's highest mountain.；e.g. We went for a [[hike]] through the woods on Sunday.
botany,[U] 植物学,
safekeeping,"[U] the state of being kept safe, or the action of keeping sth. safe 安全保管 ; 妥善保管","e.g. My passport was in the inner pocket of my bag, for [[safekeeping]]."
hobbyist,[C] a person who is very interested in a particular hobby 爱好者,e.g. The computer [[hobbyists]] are going to love this project.
pine needle,[C] 松针；松叶,
weave,"make cloth, a carpet, a basket, etc. by crossing threads or thin pieces under and over each other by hand or on a loom 编；织",e.g. This type of wool is [[woven]] into fabric which will make jackets.
merge,"if two things merge, or if one thing merges into another, you cannot clearly see them, hear them, etc. as separate things 相融；融入；渐渐消失在另一物中",e.g. The hills [[merged]] into the dark sky behind them.；e.g. The banks are set to [[merge]] next year.
merge,"combine, or join things together to form one thing 合并；融合",e.g. The hills [[merged]] into the dark sky behind them.；e.g. The banks are set to [[merge]] next year.
indistinguishable,not able to be identified as different or distinct 难以分辨的；难以区分的,e.g. The male of the species is almost [[indistinguishable]] from the female.
productivity,"[U] the rate at which goods are produced, and the amount produced, esp. in relation to the work, time, and money needed to produce them 生产率；生产效率；生产量；生产力","e.g. Studies show that if a working environment is pleasant, [[productivity]] increases."
venture,a new business activity that involves taking risks 风险项目；风险投资；冒险事业,e.g. The company's latest [[venture]] in the tech industry proved to be a success.
fragility,"1) the state of being weak or uncertain, and likely to become worse under pressure （形式）脆弱，不稳定",e.g. The collapse of the bank is a reminder of the [[fragility]] of the world’s banking system.；e.g. A deficiency of copper (缺铜) can cause increased bone [[fragility]].
fragility,2) the state of being easily broken or damaged 脆弱；易碎；易损坏,e.g. The collapse of the bank is a reminder of the [[fragility]] of the world’s banking system.；e.g. A deficiency of copper (缺铜) can cause increased bone [[fragility]].
accessible,1) easy to obtain or use 易得到的；易使用的,e.g. I had to keep the video camera readily [[accessible]] in case I saw something that needed to be filmed.；e.g. The remote desert area is only [[accessible]] by helicopter (直升机).
accessible,2) easy to reach or get into 易到达的；易进入的,e.g. I had to keep the video camera readily [[accessible]] in case I saw something that needed to be filmed.；e.g. The remote desert area is only [[accessible]] by helicopter (直升机).
corporation,"[C] a big company, or a group of companies acting together as a single organization 大型公司；企业集团",e.g. She didn't want to work for a big [[corporation]] where everything was so impersonal.
disposable,1) available to be used 可以使用的,"e.g. The nation's [[disposable]] earnings amounted to 586 billion dollars.；e.g. She joined Kiley at the counter, holding a [[disposable]] cup with coffee in it."
disposable,2) intended to be used once or for a short time and then thrown away 一次性的；用完即弃的,"e.g. The nation's [[disposable]] earnings amounted to 586 billion dollars.；e.g. She joined Kiley at the counter, holding a [[disposable]] cup with coffee in it."
amusement park,[C] 游乐场,
emerge,1) start to exist; appear or become known 兴起；开始被人所知,e.g. The state [[emerges]] as a leader in the field of next-generation energy.；e.g. The doors opened and people began to [[emerge]] into the street.
emerge,2) appear or come out from somewhere 出现；浮现,e.g. The state [[emerges]] as a leader in the field of next-generation energy.；e.g. The doors opened and people began to [[emerge]] into the street.
privilege,[C] a special advantage that is given only to one person or group of people 特权；特殊待遇,"e.g. Senior management enjoys certain [[privileges]], such as company cars and private health care."
wealthy,"1) (the ~) [pl.] people who have a lot of money, possessions, etc. 有钱人；富人","e.g. The best education should not be available only to the [[wealthy]].；e.g. He left as a poor, working class boy and returned as an extremely [[wealthy]] man."
wealthy,"2) having a lot of money, possessions, etc. 富有的；有钱的","e.g. The best education should not be available only to the [[wealthy]].；e.g. He left as a poor, working class boy and returned as an extremely [[wealthy]] man."
automatic,(of a device or process) working by itself with little or no direct human control （装置或流程）自动的,e.g. The door we escaped through had an [[automatic]] lock but we didn't know that.
prosperity,"the state of being successful, esp. financially 兴隆；发达；繁荣；昌盛","e.g. A country's future [[prosperity]] depends, to an extent, upon the quality of education of its people."
unrest,[U] a political situation in which people protest or behave violently 动荡；动乱；骚动,"e.g. Due to the economic downturn, there's growing social [[unrest]] in the country."
shortage,"[C, U] a situation in which there is not enough of sth. that people need 短缺；不足；缺乏",e.g. The long hot summer has led to serious water [[shortages]].
recession,"[C, U] a difficult time when there is less trade, business activity, etc. in a country than usual （经济）衰退，萧条",e.g. We should concentrate on sharply reducing interest rates to pull the economy out of [[recession]].
discontented,unhappy or not satisfied with the situation you are in 不满的；不满足的；不愉快的,e.g. He felt [[discontented]] with the way his life had turned out.
enjoyable,giving pleasure 令人愉快的；令人快乐的,e.g. We spent an [[enjoyable]] evening talking about old times.
inevitable,certain to happen and impossible to avoid 必然发生的；不可避免的,e.g. It was an [[inevitable]] consequence of the decision.
