english,chinese,examples
confession,"[C, U] the act of admitting one’s crimes, faults, etc. 承认；坦白",e.g. I have a [[confession]] to make — I scraped (擦坏) your car when I was parking mine.
devote,"use all or most of your time, effort, etc. in order to do sth. or help sb. 致力；献身；倾注","e.g. After graduating from law school, he [[devoted]] his energies to writing film scripts."
devoted,showing great fondness or loyalty; caring a great deal 忠实的；热爱···的,e.g. There is absolutely no doubt that this woman was a totally [[devoted]] and caring mother.
insatiable,impossible to satisfy 无法满足的,e.g. The public has an [[insatiable]] appetite for stories about famous people.
craving,[C] a very strong desire for sth. 渴望；热望,"e.g. Surprisingly, his headache and fatigue subsided (减轻) and his [[craving]] for alcohol disappeared."
tropical,"coming from, found in, or typical of the tropics 来自热带的；产于热带的；热带的","e.g. Under normal conditions, the ocean currents of the [[tropical]] Pacific travel from east to west."
challenging,difficult in an interesting or enjoyable way 富有挑战性的,e.g. Mike found a [[challenging]] job as a computer programmer.
calculus,[U] 微积分,
adjust,gradually become familiar with a new situation （使）适应；（使）习惯,e.g. I felt I had [[adjusted]] to the idea of being a mother very well.
dorm,"1) (BrE hall of residence, infml.) （大学里的）学生宿舍楼",
dorm,"2) (esp. BrE, infml.) 大寝室；宿舍",
zucchini,[C] (pl. zucchini or zucchinis) (BrE courgette) （绿皮）密生西葫芦,
cucumber,"[C, U] 黄瓜",
disposal,1) the power or opportunity to use sb. / sth. 处置权,"e.g. During their visit, I left my car at their [[disposal]].；e.g. We should not give up this option for the [[disposal]] of nuclear waste."
disposal,2) the act or means of getting rid of sth. 清理；处理,"e.g. During their visit, I left my car at their [[disposal]].；e.g. We should not give up this option for the [[disposal]] of nuclear waste."
peruse,1) examine or consider with attention and in detail 仔细研究；仔细考虑,e.g. Officials of the union are [[perusing]] the deal.；e.g. She found the information while she was [[perusing]] a copy of Life magazine.
peruse,"2) (fml.) read sth, esp. in a careful way 读；（尤指）细读，精读",e.g. Officials of the union are [[perusing]] the deal.；e.g. She found the information while she was [[perusing]] a copy of Life magazine.
grimly,1) in a worried or unhappy way 担忧地；不快地,"e.g. ""We have to get those windows open,"" I announced [[grimly]] to my husband.；e.g. ""Now, I can wait for you,"" he said [[grimly]], ""but hurry up."""
grimly,2) seriously 严肃地,"e.g. ""We have to get those windows open,"" I announced [[grimly]] to my husband.；e.g. ""Now, I can wait for you,"" he said [[grimly]], ""but hurry up."""
mealy,(fruit or vegetables) dry and not tasting good （水果或蔬菜）干巴难吃的,e.g. The apples we bought yesterday are kind of [[mealy]].
pinkish,of a light shade of red 浅粉红色的,"e.g. Her nostrils (鼻孔) were [[pinkish]], as though she had a cold."
iceberg lettuce,"[C, U] 卷心莴苣",
wrap,(also ~ up) put paper or cloth over sth. to cover it （用纸或布）包，裹（某物）,e.g. He [[wrapped]] a bandage around my injured wrist.
wrapper,[C] the piece of paper or plastic that covers sth. when it is sold （商品的）包装纸（塑料）,e.g. The kids were asked to put the sweet [[wrappers]] into the rubbish bin.
peel,"[C, U] the skin of some fruit and vegetables, esp. the thick skin of fruit such as oranges, which you do not eat （水果和蔬菜的）外皮（尤指橙子等不能食用的厚皮）","e.g. Usually, we speak of orange [[peel]] and apple [[peel]], but of tomato skin.；e.g. She sat down in the kitchen and began to [[peel]] potatoes."
peel,remove the skin from fruit or vegetables 剥去（削去）（水果或蔬菜）的皮,"e.g. Usually, we speak of orange [[peel]] and apple [[peel]], but of tomato skin.；e.g. She sat down in the kitchen and began to [[peel]] potatoes."
unworldly,1) not having a lot of experience of life 不谙世故的；天真的,e.g. I cannot believe you have such [[unworldly]] views on things as a grown man.；e.g. The singer seems somewhat [[unworldly]] because he hates commercial advertising and social activities.
unworldly,2) not interested in money or possessions 对钱财不感兴趣；脱俗的,e.g. I cannot believe you have such [[unworldly]] views on things as a grown man.；e.g. The singer seems somewhat [[unworldly]] because he hates commercial advertising and social activities.
cultured,"having or showing good education, manners, and an interest in art, music, literature, etc. 有文化的；有教养的；有修养的","e.g. The people who will be on the committee are moral, [[cultured]], and competent."
realization,"[U, sing.] (BrE also realisation) the process of becoming aware of sth. 认识；意识；领悟",e.g. There is now a growing [[realization]] that things cannot go on like this for much longer.
grant,1) (take sb. / sth. for granted) be so used to sb. / sth. that you do not recognize their true value any more and do not show that you are grateful （因习以为常）视···为理所当然（而对其不重视）,"e.g. I came into adult life clueless about a lot of things that most people take for [[granted]].；e.g. In response to the lawyer's appeals, the Home Secretary [[granted]] a free pardon (赦免)."
grant,2) (fml.) give sb. sth. or allow them to have sth. that they have asked for 给予；准予,"e.g. I came into adult life clueless about a lot of things that most people take for [[granted]].；e.g. In response to the lawyer's appeals, the Home Secretary [[granted]] a free pardon (赦免)."
motivation,1) [C] the reason why you want to do sth. 动机；原因,"e.g. What was your [[motivation]] for becoming a doctor?；e.g. Jack is an intelligent pupil, but he lacks [[motivation]]."
motivation,2) [U] eagerness and willingness to do sth. without needing to be told or forced to do it 动力；积极性,"e.g. What was your [[motivation]] for becoming a doctor?；e.g. Jack is an intelligent pupil, but he lacks [[motivation]]."
priority,"[C] sth. that needs attention, consideration, service, etc. before others 优先处理的事；当务之急","e.g. After several burglaries (入室盗窃) in the area, security is now a high [[priority]]."
golden,of the color of gold 金色的,e.g. He was so attracted by the girl with [[golden]] hair that he did not hear anything his father said.
yolk,"[C, U] 蛋黄",
crunch,[sing.] the sound of sth. being crushed or like sth. being crushed or broken 嘎吱的响声,e.g. I heard a loud [[crunch]] as the truck ran into the wall.
organic,"relating to farming or gardening methods of growing food without using artificial chemicals, or produced or grown by these methods 不使用化肥的；有机的；绿色的",e.g. Now [[organic]] farming is expanding everywhere in China.
free-range,"relating to a type of farming which allows animals such as chickens and pigs to move around and eat naturally, rather than being kept in a restricted space 放养的；散养的",e.g. She says that [[free-range]] chickens taste much better than factory-farmed ones.
participate,(fml.) take part in an activity or event 参加；参与,e.g. China will actively [[participate]] in global affairs and play a constructive role in maintaining world peace.
earbud,"[C, usu. pl.] 耳塞（小型耳机）",
melt,become or make sth. become liquid as a result of heating （使）熔化，融化,"e.g. The snow had [[melted]], but the lake was still frozen solid."
sustenance,[U] (fml.) food which keeps people or animals strong and healthy 营养；食物,"e.g. Throughout human history we have depended on nature for [[sustenance]], well-being, and development."
profound,very great 巨大的；重大的,e.g. The mother's behavior has a [[profound]] impact on the developing child.
far-reaching,having a great influence or effect 影响深远的,e.g. The report outlines the most [[far-reaching]] changes in housing policy for 30 years.
grave,"grave problems, situations, or worries are very great or bad 严重的；重大的；严峻的",e.g. The situation poses a [[grave]] threat to world peace.；e.g. She tore the rose apart and scattered the petals (花瓣) over the [[grave]].
grave,[C] a place in the ground where a dead body is buried 墓穴；坟墓,e.g. The situation poses a [[grave]] threat to world peace.；e.g. She tore the rose apart and scattered the petals (花瓣) over the [[grave]].
prediction,"[C, U] a statement about what you think is going to happen, or the act of making this statement 预言；预测",e.g. He was unwilling to make a [[prediction]] about which books would sell well in the coming year.
get (sb.) through,"pass or assist sb. in passing (a difficult, testing experience, or period) 熬过或助人熬过（困境）",e.g. I don't know how we're going to [[get through]] the winter.
make fun of,"laugh, or cause others to laugh, rather unkindly at 嘲笑；取笑",e.g. People [[make fun of]] her because she wears such a strange hat.
at one's disposal,able to be used freely by sb. 供某人支配,e.g. We will use all the means at our disposal to solve this problem.
pick out,recognize sb. / sth. in a group of people or things 分辨出；辨认出,"e.g. Steven describes himself as ""a regular guy — you couldn't [[pick out]] me out of a crowd."""
keep sth. to oneself,not tell anyone about sth. 把···秘而不宣；不将···说出去,e.g. I have to tell someone. I can't [[keep it to myself]].
be far removed from sth.,be very different from sth; not be connected with sth. 与···大相径庭；与···不相干,e.g. Many of these books are far removed from the reality of children's lives.
rely on,be dependent on 依靠,e.g. They have to [[rely on]] the river for their water.
in season,(of fruit or vegetables) easily available and ready to eat because it is the right time of year for them （水果或蔬菜）当令的,e.g. These are the dog days (伏天); watermelons are just in season.
next to,following in order or importance after sb. / sth. 仅次于；紧接,"e.g. [[Next to]] biology, I like physics best."
for the most part,mostly; usually 通常；多半,e.g. These small pieces of land were purchased [[for the most part]] by local people.
down / along the road,in the future 在将来；今后,e.g. She might be able to help you pursue a promotion [[down the road]].
Appalachia,阿巴拉契亚（美国东部地区）,
