english,chinese,examples
entrepreneur,"[C] a person who makes money by starting or running businesses, esp. when this involves taking financial risks 企业家",e.g. He would not have succeeded in such a risky business if he had not been such a clever [[entrepreneur]].
mistaken,wrong in one's opinion or judgment 意见（或判断）错误的，弄错的,e.g. She wondered whether she'd been [[mistaken]] about his intentions.
mistakenly,wrongly or by mistake 错误地；曲解地；被误解地,e.g. This app will help you get a photo or document back if you [[mistakenly]] delete it.
wormhole,[C] 虫洞（宇宙中可能存在的连接遥远空间的通道）,
sprawl,"1) if buildings sprawl, they spread out over a wide area in an untidy and unattractive way （建筑群）杂乱地延伸（扩展）",e.g. The town [[sprawls]] along the side of the lake.；e.g. He was [[sprawling]] on the sofa watching his favorite TV program.
sprawl,2) lie or sit with your arms or legs stretched out in a lazy or careless way （懒洋洋地或漫不经心地）摊开手脚躺（坐）着,e.g. The town [[sprawls]] along the side of the lake.；e.g. He was [[sprawling]] on the sofa watching his favorite TV program.
wander,"walk slowly across or around an area, usu. without a clear direction or purpose 徘徊；闲逛；漫步于",e.g. She was [[wandering]] aimlessly up and down the road.
stall,"[C] a table or small shop with an open front that people sell things from, esp. at a market （尤指集市上的）货摊，摊位，售货亭",e.g. The street is lined with [[stalls]] selling Chinese New Year decorations.
spectrum,"[C] (pl. spectra) a complete range of opinions, people, situations, etc., going from one extreme to its opposite （观点、人、情况等的）范围，幅度",e.g. A balanced diet should contain a broad [[spectrum]] of plant and animal foods.
cord,"1) an electrical wire or wires with a protective covering, usu. for connecting electrical equipment to the supply of electricity 电线",e.g. We used so many lights that we needed four extension [[cords]].；e.g. Have you got some [[cord]] that I can tie this parcel up with?
cord,2) a piece of thick string or thin rope 粗线；细绳；索；带,e.g. We used so many lights that we needed four extension [[cords]].；e.g. Have you got some [[cord]] that I can tie this parcel up with?
assemble,put all the parts of sth. together 组装；装配,"e.g. The shelves are sold in kits that you have to [[assemble]] yourself.；e.g. Since she took over the department, she has [[assembled]] a talented team with a varied selection of skills."
assemble,"if you assemble a large number of people or things, or if they assemble, they are gathered together in one place, often for a particular purpose 集合；聚集","e.g. The shelves are sold in kits that you have to [[assemble]] yourself.；e.g. Since she took over the department, she has [[assembled]] a talented team with a varied selection of skills."
amid,1) (literary) among or surrounded by things 在···之中；被···所环绕,e.g. We camped in a shallow valley [[amid]] low hills covered with green pine trees.；e.g. The dollar has fallen in value [[amid]] rumors of weakness in the US economy.
amid,"2) while noisy, busy, or confused events are happening — used in writing or news reports 在（嘈杂、纷乱的事件）中（用于书面语或新闻报道中）",e.g. We camped in a shallow valley [[amid]] low hills covered with green pine trees.；e.g. The dollar has fallen in value [[amid]] rumors of weakness in the US economy.
glitter,shine brightly with flashing points of light 闪烁；闪光,"e.g. Smoothed flat by generations of wind and rain, the stone [[glitters]] in the sun."
glittering,(usu. before noun) giving off many small flashes of light 闪光的；闪耀的,e.g. The day ended with a cruise on the Huangpu River where we saw the [[glittering]] skyline of Shanghai.
holdout,[C] a person or organization who resists sth. or refuses to accept an offer 抵制者（或组织）；不合作者（或组织）,"e.g. A few [[holdouts]] still use typewriters, but nearly everybody uses computers now."
clone,1) make a copy of; imitate 复制；模仿,e.g. Entrepreneurs have to move faster than ever to ensure others don't [[clone]] their ideas.；e.g. A team from the UK were the first to successfully [[clone]] an animal.
clone,2) make an exact copy of a plant or animal by taking a cell from it and developing it artificially 克隆,e.g. Entrepreneurs have to move faster than ever to ensure others don't [[clone]] their ideas.；e.g. A team from the UK were the first to successfully [[clone]] an animal.
innovation,1) [U] the introduction of new ideas or methods 革新；创新,e.g. We must encourage [[innovation]] if the company is to remain competitive.；e.g. She believed she had come up with one of the greatest [[innovations]] of modern times.
innovation,"2) [C] a new idea, method, or invention 新观念；新方法；新发明",e.g. We must encourage [[innovation]] if the company is to remain competitive.；e.g. She believed she had come up with one of the greatest [[innovations]] of modern times.
coexist,exist at the same time or in the same place 共存；共处,e.g. Different traditions [[coexist]] successfully in this country.
increasingly,more and more all the time 不断增加地；越来越多地,"e.g. [[Increasingly]], businesses are having to reduce their costs in order to survive."
poised,"1) completely ready to do sth. or for sth. to happen, when it is likely to happen soon 准备好的；蓄势待发的","e.g. The company is [[poised]] to launch its new advertising campaign.；e.g. Tina was tense, her hand [[poised]] over the telephone."
poised,"2) not moving, but ready to move or do sth. at any moment （摆好姿势）准备行动的","e.g. The company is [[poised]] to launch its new advertising campaign.；e.g. Tina was tense, her hand [[poised]] over the telephone."
artificial,not real or not made of natural things but made to be like sth. that is real or natural 人造的；人工的,e.g. Energy is being wasted by using [[artificial]] lighting when daylight is adequate.
artificial intelligence,"[U] (abbr. AI) the study of how to make computers do intelligent things that people can do, such as think and make decisions 人工智能",e.g. Language is crucial to the development of [[artificial intelligence]].
drone,[C] 无人机,e.g. Above him an invisible plane [[droned]] through the night sky.
drone,make a continuous low dull sound 发出持续的嗡嗡声；嗡嗡作响,e.g. Above him an invisible plane [[droned]] through the night sky.
miracle,[C] sth. very lucky or very good that happens which you did not expect to happen or did not think was possible 意外的幸运事；不可思议的事；奇迹,e.g. The economic [[miracle]] of this country has always been a mystery.
impetus,"[U, sing.] sth. that encourages a process or activity to develop more quickly 刺激；推动（力）；促进",e.g. The grant for building the opera house gave [[impetus]] to the city's cultural life.
unrecognizable,(BrE also unrecognisable) sb. / sth. that is unrecognizable has changed or been damaged so much that you do not recognize them （变得）不能识别的，认不出来的,e.g. I hadn't been to the city for 20 years and it was almost [[unrecognizable]].
reign,1) be very important or a powerful influence at a particular time 支配；盛行,e.g. Silence [[reigned]] while we waited for news anxiously.；e.g. Queen Victoria [[reigned]] over Britain from 1837 to 1901.
reign,"2) rule a nation or group of nations as their king, queen, or emperor 为王；为君",e.g. Silence [[reigned]] while we waited for news anxiously.；e.g. Queen Victoria [[reigned]] over Britain from 1837 to 1901.
supreme,"having the highest position of power, importance, or influence （权力、重要性或影响力）最高的，至高无上的","e.g. Winning an Olympic gold medal was, I suppose, the [[supreme]] moment of my life."
