english,chinese,examples
whole wheat,(BrE wholemeal) 用全麦做的；用全麦面粉做的,e.g. The cool temperature helps keep [[whole wheat]] flour fresh for longer.
ham,"[C, U] 火腿（肉）",
grill,cook under or over direct heat 烤；烧；焙,e.g. The meat tastes best when you [[grill]] it for 20 minutes on each side.
toast,"make (bread, cheese, etc.) brown by placing it close to heat 烤，烘（面包、奶酪等）",e.g. [[Toast]] the bread lightly on both sides and it will be ready.；e.g. I'd like a coffee and two slices of [[toast]] with butter.
toast,[U] bread that has been heated so that it is brown on both sides and no longer soft 烤面包（片）；吐司,e.g. [[Toast]] the bread lightly on both sides and it will be ready.；e.g. I'd like a coffee and two slices of [[toast]] with butter.
historian,[C] a person who studies history and / or writes about it 历史学家；史学工作者,"e.g. His father is a famous [[historian]], specializing in the history of Germany."
resourcefulness,[U] the quality of being good at finding ways to deal with difficult situations 机智；有办法,"e.g. Because of his adventures, he is a person of far greater experience and [[resourcefulness]]."
immigration,[U] the process of entering another country to make one's life there 移居；移民入境,e.g. The government has decided to tighten the [[immigration]] policy.
globalization,"[U] (BrE also globalisation) the process of making sth. such as a business operate in a lot of different countries all around the world, or the result of this 全球化",e.g. Economic [[globalization]] has changed the nature of competition among cities in developing countries.
tuna,"[C, U] (pl. tuna or tunas) 金枪鱼（肉）",
originate,(fml.) (~ from / in) come from a particular place or start in a particular situation 开始；发源,e.g. All theories [[originate]] from practice and in turn serve practice.
conserve,"reduce the amount of money, time, goods, etc. that you use 削减；节省",e.g. He tried to [[conserve]] on fuel during the long winter.；e.g. We must [[conserve]] our forests and woodlands for our future generations.
conserve,"keep sth. from being wasted, damaged, lost, or destroyed 保护；保存",e.g. He tried to [[conserve]] on fuel during the long winter.；e.g. We must [[conserve]] our forests and woodlands for our future generations.
excess,"[U, sing.] a larger amount of sth. than is allowed or needed 过分；过量",e.g. The test revealed an [[excess]] of alcohol in the driver's blood.
leftover,(~s) [pl.] food remaining uneaten after a meal 剩饭菜,"e.g. At my grandma's, we sometimes had [[leftovers]] and it was my grandpa who ate them.；e.g. This recipe makes use of [[leftover]] chicken from the roast chicken recipe."
leftover,"(only before noun) remaining after all the rest has been used, taken, or eaten 未用完的；剩余的；未吃完的","e.g. At my grandma's, we sometimes had [[leftovers]] and it was my grandpa who ate them.；e.g. This recipe makes use of [[leftover]] chicken from the roast chicken recipe."
mayonnaise,[U] 蛋黄酱,
lettuce,"[C, U] 莴苣；生菜",
convention,"1) [C, U] behavior and attitudes that most people in a society consider to be normal and right 惯例；常规；习俗",e.g. It is a matter of [[convention]] that businessmen should wear suits.；e.g. They have chosen him to represent their city at the [[convention]].
convention,2) [C] a large formal meeting for people who belong to the same profession or organization or who have the same interests 大会；会议；集会,e.g. It is a matter of [[convention]] that businessmen should wear suits.；e.g. They have chosen him to represent their city at the [[convention]].
turnover,"1) movement (as of goods or people) into, through, and out of a place （货物、人员等的）流动，流通；吞吐",e.g. The restaurant did a lively business and had a rapid [[turnover]].；e.g. I believe they've doubled their [[turnover]] since those advertisements appeared in the press.
turnover,"2) [U, sing.] (BrE) the amount of business done during a particular period 营业额",e.g. The restaurant did a lively business and had a rapid [[turnover]].；e.g. I believe they've doubled their [[turnover]] since those advertisements appeared in the press.
canned,(of food) preserved in a tin （食物）罐装的,e.g. They tend to buy cheap processed foods like [[canned]] chicken.
downside,[sing.] the disadvantage or negative aspect of sth. 不利方面,e.g. There is a [[downside]] of living in the countryside: It takes a long time to commute to work.
