english,chinese,examples
roam,"walk or travel, usu. for a long time, with no clear purpose or direction 闲逛；漫步；漫步于",e.g. Tigers once [[roamed]] far and wide across much of Southeast Asia.
passionate,"having or showing strong feelings of love or of anger, etc. 感情强烈的；热情的",e.g. Sarah was greeted with a [[passionate]] embrace by her husband and children at Heathrow Airport on returning to London.
dockside,[sing.] the edge of the land that is next to the water in a port 码头边；坞边,e.g. The [[dockside]] was the busiest place he had ever seen.
reunion,"1) [C, U] the act of people coming together after they have been apart for some time 团圆；重逢","e.g. It was a very emotional [[reunion]], for the children weren't allowed to see her for nearly a week.；e.g. We all look forward to our class [[reunion]], an awesome celebration with old friends!"
reunion,2) [C] a social occasion or party attended by a group of people who have not seen each other for a long time 聚会,"e.g. It was a very emotional [[reunion]], for the children weren't allowed to see her for nearly a week.；e.g. We all look forward to our class [[reunion]], an awesome celebration with old friends!"
stern,"serious and strict, and showing strong disapproval of sb.'s behavior 严厉的；严格的；苛刻的",e.g. The manager gave a [[stern]] warning to those who were on strike.
fretful,1) marked by worry and distress; troublesome 令人烦恼的,e.g. Mr. Royama and others are likely to find the coming week a very [[fretful]] one indeed.；e.g. The boy appeared [[fretful]] and disappointed that he couldn't join the others on their trip.
fretful,"2) anxious and complaining, and unable to relax 烦恼的；发牢骚的",e.g. Mr. Royama and others are likely to find the coming week a very [[fretful]] one indeed.；e.g. The boy appeared [[fretful]] and disappointed that he couldn't join the others on their trip.
refugee,"[C] sb. who has been forced to leave their country, esp. during a war, or for political or religious reasons 难民；避难者",e.g. The [[refugees]] were packed shoulder to shoulder on the boat.
overloaded,having or supplied with too much of sth. 超载的；超负荷的,e.g. Even a simple turn becomes risky when the truck is [[overloaded]].
lifeboat,1) a small boat carried by ships in order to save people if the ship sinks （船上备用的）救生艇,e.g. The captain ordered all passengers into [[lifeboats]].；e.g. Sam's dog was saved by a [[lifeboat]] during the incident on Tuesday afternoon.
lifeboat,2) a boat that is sent out to help people who are in danger at sea （海上）救生艇（船）,e.g. The captain ordered all passengers into [[lifeboats]].；e.g. Sam's dog was saved by a [[lifeboat]] during the incident on Tuesday afternoon.
singular,1) single; unique 单个的；独一无二的,"e.g. She always thought of herself as [[singular]], as her father's only daughter.；e.g. Can you tell me the [[singular]] form of this noun?"
singular,2) of or relating to the form of a word used when referring to one person or thing （词形）单数的,"e.g. She always thought of herself as [[singular]], as her father's only daughter.；e.g. Can you tell me the [[singular]] form of this noun?"
double-decker,[C] 双层公共汽车,
windmill,[C] 风车；风车磨坊,
sidewalk,[C] (BrE pavement) 人行道,
grasp,"[sing.] your ability to understand a complicated idea, situation, or subject （对复杂想法、情况或问题的）理解力，领悟力",e.g. Steve has a good [[grasp]] of the European legal system.；e.g. I [[grasped]] his arm firmly and led him away.
grasp,take and hold sth. firmly 抓牢；握紧,e.g. Steve has a good [[grasp]] of the European legal system.；e.g. I [[grasped]] his arm firmly and led him away.
queue,"(also ~ up) (AmE line, line up) form or join a line of people or vehicles waiting to do sth. or go somewhere 排队（等候）",e.g. People are [[queuing]] to get in from 7 a.m.；e.g. All of a sudden a woman elbowed her way to the front of the [[queue]].
queue,"[C] (AmE line) a line of people waiting to enter a building, buy sth., etc. or a line of vehicles waiting to move （人或车辆为等候而排的）队，行列",e.g. People are [[queuing]] to get in from 7 a.m.；e.g. All of a sudden a woman elbowed her way to the front of the [[queue]].
wherever,"to or at any place, position, or situation 无论去哪里；无论在哪里；无论什么情况下","e.g. [[Wherever]] you choose to live, there are always going to be advantages and disadvantages."
orderly,arranged or organized in a sensible or neat way 有条理的；整齐的,e.g. She put all the letters received in the last two years in three [[orderly]] piles.
scramble,1) struggle or compete with other people to get or reach sth. 争夺；抢夺,e.g. Thousands of people will be [[scrambling]] for tickets.；e.g. She [[scrambled]] down the tree quickly.
scramble,"2) (always + ad. / prep.) climb up, down, or over sth. quickly and with difficulty, esp. using your hands to help you （迅速而吃力地）爬，攀登",e.g. Thousands of people will be [[scrambling]] for tickets.；e.g. She [[scrambled]] down the tree quickly.
aboard,"on or onto a ship, plane, or train 在船（飞机、火车）上；上船（飞机、火车）","e.g. Given the early hour, the train was not crowded at all, with only about 30 passengers [[aboard]].；e.g. After all the troubles, they finally went [[aboard]] the plane."
aboard,"on or onto a ship, plane, or train 在（船、飞机、火车）上；上（船、飞机、火车）","e.g. Given the early hour, the train was not crowded at all, with only about 30 passengers [[aboard]].；e.g. After all the troubles, they finally went [[aboard]] the plane."
upside down,with the top at the bottom and the bottom at the top 倒置地；颠倒地,"e.g. To get the plant out of the pot, turn it [[upside down]] and give it a gentle knock."
impulse,"[C, U] a sudden strong desire to do sth. without thinking about whether it is a sensible thing to do 冲动；突然的欲望",e.g. Mary felt a sudden [[impulse]] to play some music.
bounce,(cause to) move up or away after hitting a surface （使）弹起；（使）反弹；（使）弹跳,e.g. The ball [[bounced]] twice before he could reach it.
humour,"[U] (AmE humor) the ability to find things funny, the way in which people see that some things are funny, or the quality of being funny 幽默感；幽默",e.g. Even a speech on a serious subject could be delivered with a little [[humour]].
Swiss,(the ~) [pl.] 瑞士人,
Spanish,(the ~) [pl.] 西班牙人,
excite,1) (fml.) cause a particular feeling or reaction 引起；激起,"e.g. This product has [[excited]] a great deal of media interest.；e.g. His playing is technically brilliant, but it doesn't [[excite]] me."
excite,"2) (not in progressive) make sb. feel happy, interested, or eager 使兴奋；使激动","e.g. This product has [[excited]] a great deal of media interest.；e.g. His playing is technically brilliant, but it doesn't [[excite]] me."
childlike,having qualities that are typical of a child 孩子般的；像孩子似的；天真无邪的,e.g. All her life she had a [[childlike]] trust in other people.
ignorant,not knowing information or facts that you ought to know 无知的；愚昧的,e.g. They remained [[ignorant]] of the troubles that lay ahead.
reliably,in a way that can be trusted or believed 可靠地；可信赖地,e.g. The website helps you find what you want faster and more [[reliably]].
endanger,"put sb. / sth. in danger of being hurt, damaged, or destroyed 使处于险境；危及",e.g. We must be careful not to do anything that might [[endanger]] the economic recovery.
existence,"1) [C, usu. sing.] a particular way of life 生活；生活方式",e.g. Surfing the Internet has become part of our everyday [[existence]].；e.g. The organization has been in [[existence]] for 25 years.
existence,2) [U] the state of existing 存在；实有,e.g. Surfing the Internet has become part of our everyday [[existence]].；e.g. The organization has been in [[existence]] for 25 years.
chambermaid,[C] 打扫房间的女工；（尤指宾馆里的）客房女服务员,
packet,[C] (BrE) a small paper or cardboard container in which goods are packed for selling （装商品的）小包，小袋，小盒,e.g. Could you please kindly bring me a few [[packets]] of biscuits?
sniff,smell sth. by taking air in through your nose 嗅；闻,e.g. She put perfume on her wrist and [[sniffed]] it.；e.g. We all had colds and couldn't stop [[sniffing]] and sneezing.
sniff,"breathe air into your nose noisily, for example when you are crying or have a cold （因哭泣、感冒等）抽鼻子",e.g. She put perfume on her wrist and [[sniffed]] it.；e.g. We all had colds and couldn't stop [[sniffing]] and sneezing.
puzzle,confuse sb. or make them feel slightly anxious because they do not understand sth. 使困惑；使迷惑,e.g. The findings of the survey [[puzzled]] me — they were not at all what I would have expected.
puzzle,[C] 拼图游戏；拼图玩具,e.g. The findings of the survey [[puzzled]] me — they were not at all what I would have expected.
charm,please and interest sb. 吸引···的兴趣；迷住,"e.g. The story has [[charmed]] generations of children.；e.g. Snow White and the Seven Dwarfs, the 1937 Disney classic, has lost none of its original [[charm]]."
charm,"[C, U] a quality that makes you like or feel attracted to sb. / sth. 魅力；吸引力","e.g. The story has [[charmed]] generations of children.；e.g. Snow White and the Seven Dwarfs, the 1937 Disney classic, has lost none of its original [[charm]]."
no more … than,used to emphasize that sb. / sth. does not have a particular quality or would not do sth. 根本不···；完全不···,e.g. He's no more fit to be the group leader than I am.
get around,"(BrE get round) if news or information gets around, it is told to a lot of people （新闻或消息）传开",e.g. Word [[got around]] that the shopping mall might be closed.
for instance,for example 例如,"e.g. We found out that fruit loaf (水果面包) is better than cake or chocolate, for instance."
get the hang of sth.,(infml.) understand the technique of doing sth. 掌握···的窍门,e.g. It's not difficult once you get the hang of it.
pull up,"when a vehicle or driver pulls up, the vehicle slows down and stops （车辆或司机）停车",e.g. The taxi [[pulled up]] and the driver jumped out.
as far as sb. is concerned,(spoken) used to show what sb.'s opinion on a subject is or how it affects them 在某人看来；就某人而言,"e.g. As far as I am concerned, a change of policy is needed to reduce the unemployment rate."
wash out,"wash sth. quickly, esp. the inside of a container 洗净（尤指容器内壁）","e.g. When the bottle is empty, [[wash it out]] thoroughly before refilling."
in the end,"after a period of time, or after everything has been done 最后；终于","e.g. As long as you try hard, you'll surely succeed in the end."
Copenhagen,哥本哈根（丹麦首都）,
Denmark,丹麦（欧洲国家）,
the Netherlands,荷兰（欧洲国家）,
Oslo,奥斯陆（挪威首都）,
