english,chinese,examples
evolution,"1) the gradual change and development of an idea, situation, or object 演变；逐步发展",e.g. [[Evolution]] of language is the gradual change in human language over time.；e.g. The emergence of language was a defining moment in the [[evolution]] of modern humans.
evolution,2) the scientific idea that plants and animals develop and change gradually over a long period of time 进化（论）,e.g. [[Evolution]] of language is the gradual change in human language over time.；e.g. The emergence of language was a defining moment in the [[evolution]] of modern humans.
netspeak,[U] 网络语言,
slang,"[U] very informal words and expressions that are more common in spoken language, esp. used by a particular group of people, e.g. children, soldiers 俚语",e.g. These are some [[slang]] words teens might use when talking about other people.
abbreviation,[C] a short form of a word or expression 缩略语，缩写 （形式）,e.g. The styling of [[abbreviations]] is inconsistent and includes many possible variations.
stretch,"make sth. bigger or looser by pulling it, or become bigger or looser as a result of being pulled （使）变大；（使）变松；拉长",e.g. A spider's web can [[stretch]] considerably without weakening.
crowdfunding,[U] 众筹（向大众募集资金的做法，常在因特网上进行）,
selfie,[C] (infml.) 自拍照片,
cyberbullying,[U] the activity of sending Internet or text messages that threaten or insult sb. 网络霸凌（欺凌）,e.g. The school provides guidance for parents on how to deal with issues such as [[cyberbullying]].
pre-existing,(fml.) (only before noun) existing before a particular time or event 先于···存在的,"e.g. But, this research doesn't consider the effects of [[pre-existing]] relationships."
engagement,1) [U] when you become involved with sb. / sth. in order to understand them 密切关系,e.g. Virtual employee [[engagement]] activities are ways to improve the relationship between an organization and its remote workers.；e.g. The man knew about the [[engagement]] and brought them a bottle of champagne as a gift.
engagement,"2) [C] an agreement between two people to marry, or the period of time they are engaged 婚约；订婚期间",e.g. Virtual employee [[engagement]] activities are ways to improve the relationship between an organization and its remote workers.；e.g. The man knew about the [[engagement]] and brought them a bottle of champagne as a gift.
accelerate,"if a process accelerates or if sth. accelerates it, it happens faster than usual or sooner than you expect （使）加快；（使）加速",e.g. More efforts will be made in the years ahead to [[accelerate]] the agricultural reform.
lexicon,"[sing.] the vocabulary of a person, language, or branch of knowledge（个人、语言或学科的）词汇","e.g. The word ""cloud"" is attached to many terms in the computing [[lexicon]]."
TTFN,"(ta-ta for now) (BrE, infml.) used in emails and text messages to say goodbye to sb. 回头见（用于电子邮件和手机短信中）","e.g. Anyway, [[TTFN]], and hopefully I'll have plenty of time to write when I get back."
trace,1) find the origins of when sth. began or where it came from 追溯；追查,e.g. The style of these paintings can be [[traced]] back to early medieval influences.；e.g. Police are trying to [[trace]] a young woman who was seen near the accident.
trace,2) find sb. / sth. that has disappeared by searching for them carefully 仔细找寻,e.g. The style of these paintings can be [[traced]] back to early medieval influences.；e.g. Police are trying to [[trace]] a young woman who was seen near the accident.
doh,(also d'oh) (spoken) used humorously when you have just realized that you have done or said sth. stupid 噢，呀（幽默用法，意识到自己做错事或说错话时发出的感叹语）,"e.g. ""[[Doh]]! That was the biggest mistake in my career,"" said Jack."
directory,"[C] a book or list of names, facts, etc., usu. arranged in alphabetical order （通常按字母顺序排列的）姓名地址录，名录，电话簿",e.g. I couldn't find your number in the telephone [[directory]].
assistance,[U] help or support 帮助；援助,e.g. The work was completed with the [[assistance]] of local carpenters.
blur,"1) make the difference between two ideas, subjects, etc. less clear （使）（想法、主题等）难以区分，模糊",e.g. She tends to [[blur]] the distinction between her friends and her colleagues.；e.g. The writing [[blurred]] and danced before his eyes.
blur,"2) become difficult to see, or make sth. difficult to see, because the edges are not clear （使）（某物）模糊不清",e.g. She tends to [[blur]] the distinction between her friends and her colleagues.；e.g. The writing [[blurred]] and danced before his eyes.
distinction,"[C, U] a clear difference or separation between two similar things 差别；区别；差异","e.g. We need to draw a [[distinction]] between the two events, even though they are both related to financial issues."
prevalent,"common at a particular time, in a particular place, or among a particular group of people 普遍的；盛行的；流行的",e.g. One [[prevalent]] quality we have found in teens' statements about themselves is a strikingly positive emotional tone.
linguistics,"[U] the study of language in general and of particular languages, their structure, grammar, and history 语言学","e.g. As a specialist in [[linguistics]], I have studied how the conversational styles of men and women differ."
acronym,[C] a word formed from the initial letters of other words 首字母缩略词,"e.g. More typically, [[acronyms]] are pronounced as new single words, as in UNESCO."
LOL,"(laughing out loud) used in emails, text messages, etc. to show that you think sth. is funny 大声笑（用于电子邮件、手机短信等中表示认为某事很好笑）",e.g. The dog kept running around chasing its tail. [[LOL]].
longevity,1) the amount of time that sth. lasts 持续时间,"e.g. By offering services to help expand the [[longevity]] of their products, they are promising quality and durability to consumers.；e.g. The new study appears to be the first to specifically look at the relationship between optimism and [[longevity]]."
longevity,2) the amount of time that sb. / sth. lives 寿命,"e.g. By offering services to help expand the [[longevity]] of their products, they are promising quality and durability to consumers.；e.g. The new study appears to be the first to specifically look at the relationship between optimism and [[longevity]]."
eligible,having the right to do or obtain sth. 合格的；有资格的,"e.g. If you are a teenager living in certain parts of the province, you could be [[eligible]] for this program."
revisit,1) (fml.) consider or discuss sth. again 重新考虑；再次讨论,"e.g. We need to [[revisit]] this proposal as soon as the budget is clearer.；e.g. Ten years later, I [[revisited]] the school to find out what had changed."
revisit,2) (written) return to a place you once knew well 重游；再访,"e.g. We need to [[revisit]] this proposal as soon as the budget is clearer.；e.g. Ten years later, I [[revisited]] the school to find out what had changed."
usage,"1) [U] the way in which sth. is used, or the amount of it that is used 使用方法；使用量","e.g. It involves changing product quality, features, or style to attract new users or more [[usage]] from present users.；e.g. The dictionary focuses on the more usual words of the language and avoids rare [[usages]] of these words."
