english,chinese,examples
entrepreneurship,"[U] the state of being an entrepreneur, or the activities or spirit associated with being an entrepreneur 企业家身份；企业家行为或精神",e.g. Individuals not only need to examine their personal finances but also the considerable lifestyle changes [[entrepreneurship]] can bring.
venture,[C] a new business activity that involves taking risks 风险项目；风险投资；冒险事业,e.g. Another idea that has attracted [[venture]] capitalists' interest is online learning.
outlook,[C] general attitude to life and the world （对生活和世界的）看法，观点，态度,e.g. You will become more mature as your [[outlook]] on life is influenced by the books that you read.
curiosity,"[U, sing.] the desire to know about sth. 好奇心","e.g. In my view, intellectual [[curiosity]] is a sufficient reason for this new scientific endeavor."
cultivate,"1) work hard to develop a particular skill, attitude, or quality 培养，养成（技能、态度或素质）","e.g. [[Cultivating]] a positive mental attitude toward yourself can reap tremendous benefits.；e.g. Near the coast, huge areas of land are given over to [[cultivating]] tomatoes."
cultivate,2) prepare and use land for growing crops and plants 耕；耕作,"e.g. [[Cultivating]] a positive mental attitude toward yourself can reap tremendous benefits.；e.g. Near the coast, huge areas of land are given over to [[cultivating]] tomatoes."
holistic,"considering a person or thing as a whole, rather than as separate parts 整体（论）的；全面的","e.g. Policymakers need to take a long-term, [[holistic]] approach to the housing finance reform."
effectiveness,[U] the quality of being successful and working in the way that was intended 有效性,e.g. There are doubts about the [[effectiveness]] of the new drug in treating the disease.
solely,not involving anything or anyone else 唯一地；仅仅；独一无二地,e.g. Too often we make buying decisions based [[solely]] upon what we see in advertisements.
profitability,"[U] when a business or an activity makes a profit, or the amount of profit it makes 获利；盈利；利润","e.g. Competition between firms will continue to force those prices down, which will undermine the [[profitability]] of the industry."
capitalistic,supporting or based on the principles of capitalism 资本主义的,"e.g. In a [[capitalistic]] society, individuals with wealth and privilege have much of the power."
pioneering,(only before noun) introducing new and better methods or ideas for the first time 开创性的；先驱的；探索性的,e.g. Cowley's [[pioneering]] development of modern emergency medicine helped save countless lives.
optimize,(BrE optimise) improve the way that sth. is done or used so that it is as effective as possible 使最优化；使尽可能完善；使尽量有效,"e.g. Doctors are concentrating on understanding the disease better, and on [[optimizing]] the treatment."
enterprise,"[C] a company, organization, or business 公司；组织；企业","e.g. To a great many individuals setting up a new business [[enterprise]], the last thing they usually bother about is accounting and tax."
gratifying,pleasing and satisfying 令人高兴的；令人满意的,e.g. It must be very [[gratifying]] to see all your children grown-up and happy.
sustainability,[U] the quality of being able to continue for a long time 可持续性,"e.g. ""Do you want environmental [[sustainability]] or do you want economic advantage?"" asked McConnell."
propel,"move, drive, or push sth. forward 推动；推进；驱动",e.g. The rocket is attached to the spacecraft and is designed to [[propel]] it toward Mars.
revolutionary,"completely new and different, esp. in a way that leads to great improvements 革命性的；突破性的；创新的",e.g. The 20th century brought about [[revolutionary]] changes in our lifestyles.
