english,chinese,examples
sphere,"[C] a particular area of activity, work, knowledge, etc. （活动、工作、知识等的）范围，领域",e.g. Women have been taking more important positions of power in the public [[sphere]].
foremost,the best or most important 最好的；最重要的,e.g. He is one of the country's [[foremost]] authorities on criminal law.
autobiography,"[C, U] a book in which sb. writes about their own life 自传",e.g. He gives a vivid description of his childhood in his [[autobiography]].
prominent,important 重要的；著名的；卓越的；杰出的,e.g. He played a [[prominent]] role in promoting public health awareness in developing countries.
complement,make a good combination with sb. / sth. else 补充；使相配；使完美,"e.g. For the show, the museum is borrowing 20 paintings that [[complement]] its own collection."
complementary,"complementary things go well together, although they are usually different 互为补充的；互补的",e.g. The computer and the human mind have different but [[complementary]] abilities.
forefront,(the ~) a leading or important position 最前线；最前列；最重要的位置,e.g. The company has always been at the [[forefront]] of science and technology.
criticism,"1) writing which expresses judgments about the good or bad qualities of books, films, music, etc. （对书、电影、音乐等的）评论",e.g. Art [[criticism]] is about how we evaluate and interpret art.；e.g. My main [[criticism]] of the scheme is that it does nothing to help families on low incomes.
criticism,2) remarks that say what you think is bad about sb. / sth. 批评；批判,e.g. Art [[criticism]] is about how we evaluate and interpret art.；e.g. My main [[criticism]] of the scheme is that it does nothing to help families on low incomes.
costume,"1) [C, U] clothes that are typical of a particular place or period of time in the past （代表某一特定地方或历史时期的）服装，装束",e.g. The dancers were in national [[costume]] to celebrate the National Day.；e.g. Maybe you should take off that wolf [[costume]] and show him how it's done.
costume,"2) [C] a set of clothes worn by an actor or by sb. to make them look like sth., such as an animal or a famous person. 戏装；演出服",e.g. The dancers were in national [[costume]] to celebrate the National Day.；e.g. Maybe you should take off that wolf [[costume]] and show him how it's done.
iconic,"very famous or popular, esp. being considered to represent particular opinions or a particular time （尤指能代表某种观点或某一时代）非常出名的，受欢迎的","e.g. The Phantom of the Opera must be the most [[iconic]] Broadway musical ever, and it's for a good reason — it's so incredible."
masterpiece,"[C] a work of art, a piece of writing or music, etc. that is of very high quality or that is the best that a particular artist, writer, etc. has produced 杰作；名作；代表作",e.g. Mary Shelley was just 21 when she published her [[masterpiece]] Frankenstein.
elevate,"(fml.) move sb. / sth. to a more important level or rank, or make them better than before 提拔；晋升；提升",e.g. A well-chosen handbag can really [[elevate]] a woman's level of fashion.
utility,"1) [U] (fml.) the quality of being useful, or the degree to which sth. is useful 有用；实用性",e.g. I have severe doubts about the [[utility]] of examinations on subjects learned this way.；e.g. Officials said water supplies and other public [[utilities]] in the capital were badly affected.
utility,"2) [C, usu. pl.] a service such as gas or electricity provided for people to use 公用事业（如煤气、电力等）",e.g. I have severe doubts about the [[utility]] of examinations on subjects learned this way.；e.g. Officials said water supplies and other public [[utilities]] in the capital were badly affected.
temporality,the quality of relating to or limited by time 时效性；短暂性,e.g. He argues that [[temporality]] cannot be identified with ordinary clock time.
constrain,1) limit sth. 限制；束缚,e.g. Poor soil has [[constrained]] the level of crop production in this area.；e.g. Financial factors should not [[constrain]] doctors from prescribing the best treatment for patients.
constrain,2) stop sb. from doing what they want to do 阻止；妨碍,e.g. Poor soil has [[constrained]] the level of crop production in this area.；e.g. Financial factors should not [[constrain]] doctors from prescribing the best treatment for patients.
contour,[C] the shape of the outer edges of sth. such as an area of land or sb.'s body 外形；轮廓,e.g. Maybe you can try this seat — it can be adjusted to fit the [[contours]] of your back.
perception,the way you think about sth. and your idea of what it is like 认识；观念；看法,e.g. There is a general public [[perception]] that social media can be addictive.
avant-garde,"avant-garde music, literature, etc. is extremely modern and often seems strange or slightly shocking （音乐、文学作品等）前卫的，先锋派的",e.g. His paintings are rather too [[avant-garde]] for my taste.
clear-cut,sharply defined; easy to understand 明确的；易懂的,"e.g. While there are a number of arguments in favor of school uniforms, the issue of whether or not they should be required is not a [[clear-cut]] matter."
blur,1) become or make sth. become difficult to distinguish clearly （使）难以区分,e.g. The design of this museum is meant to [[blur]] the distinction between the house and the garden.；e.g. The words [[blurred]] and danced before his eyes.
