english,chinese,examples
wicker,[C] 干枝条；干柳条；芦苇杆,
grumpy,bad-tempered and easily annoyed 脾气坏的；易怒的,e.g. I have not had enough sleep lately and I am feeling kind of [[grumpy]].
visualize,(BrE visualise) form a picture of sb. / sth. in your mind 设想；想象,e.g. An architect can look at a drawing and [[visualize]] a three-dimensional shape.
assignment,1) [C] a piece of work that a student is asked to do （学生的）作业,e.g. Students will need to complete three written [[assignments]] this semester.；e.g. She told me that she will be in Greece next week on [[assignment]] for one of the national newspapers.
assignment,"2) [C, U] a piece of work that is given to sb. as part of their job （分配的）任务",e.g. Students will need to complete three written [[assignments]] this semester.；e.g. She told me that she will be in Greece next week on [[assignment]] for one of the national newspapers.
jeer,laugh at sb. or shout rude remarks at them to show that you do not respect them 嘲笑；嘲弄,"e.g. After the match, the disappointed fans were all [[jeering]] at the football team."
stun,(not in progressive) surprise or upset sb. so much that they do not react immediately 使（某人）震惊,e.g. Sasha was too [[stunned]] by what had happened in the office to say a word.
proceed,(fml.) (~ with) continue doing sth. that has already been started; continue being done 继续进行；继续做,e.g. The discussions between the two firms are [[proceeding]] slowly but satisfactorily.
arch,form or make sth. form a curved shape（使）拱起；（使）成拱形,e.g. His eyebrows [[arched]] as if he were angry.
eyebrow,[C] 眉（毛）,
shrug,"raise one's shoulders slightly to express doubt, indifference, ignorance, etc. 耸（肩）（以示怀疑、 与己无关、不知道等）",e.g. He [[shrugged]] his shoulders as if to say that there was nothing he could do about it.
slum,"[C] a house or an area of a city that is in very bad condition, where very poor people live （城市中的）贫民窟，贫民区","e.g. My friend Bobby lives with his three sisters in a [[slum]] near the city center, but he doesn't lose faith in life."
marketable,"marketable goods, skills, etc. can be sold easily because people want them （商品、技能等）有市场的，有销路的，畅销的","e.g. The program is designed to provide students with real, [[marketable]] skills."
smug,showing too much satisfaction with your own cleverness or success — used to show disapproval 自满的，自鸣得意的，沾沾自喜的（含贬义）,e.g. Peter was wearing an unbearably [[smug]] expression and waving the tickets in front of me.
leer,[C] an unpleasant look suggesting lust or ill will 挑逗性的或不怀好意的目光,e.g. He has a most unpleasant [[leer]].
