english,chinese,examples
needful,necessary 必要的；需要的,e.g. He could only think of how [[needful]] it was to take the train and get quietly away.
confines,[pl.] limits or borders 界限；范围,e.g. We can't really discuss feminism within the [[confines]] of such a short novel.
cramp,prevent the development of sb. / sth. 限制，束缚（某人或某事物的发展）,e.g. Some people are worried that stricter anti-pollution laws may [[cramp]] economic growth.
noxious,(fml.) harmful or poisonous 有害的；有毒的,e.g. Environmentalists warned that heavy industry pollutes our rivers with [[noxious]] chemicals.
medicinal,used for treating medical problems 有疗效的；有药效的,e.g. Her interest was rekindled when she saw herbs in everyday [[medicinal]] use there.
restore,make sth. return to its former state or condition 使恢复；使回复,e.g. The government promises to [[restore]] the economy to its full strength by the end of the year.
attorney,[C] (AmE) a lawyer 律师,e.g. He decided to consult with an [[attorney]] about this particular case.
din,[sing] a loud unpleasant noise that continues for a long time （持久的）嘈杂声，喧闹声,"e.g. They waved their arms and shouted, trying to make themselves heard over the [[din]] of the crowd."
craft,1) [U] ( fml.) skill in making people believe what you want them to believe 诡计；手腕,e.g. He knew how to win by [[craft]] and diplomacy what he could not gain by force.；e.g. It's lucky that all kinds of traditional [[craft]] industries are preserved here.
craft,2) [C] a traditional skill of making things by hand （传统）手（工）艺,e.g. He knew how to win by [[craft]] and diplomacy what he could not gain by force.；e.g. It's lucky that all kinds of traditional [[craft]] industries are preserved here.
horizon,(the ~) the line far away where the land or sea seems to meet the sky 地平线,"e.g. He backed away from the edge, looking all around at the flat [[horizon]]."
corporeal,"(fml.) relating to the body, rather than to the mind, feelings, or spirit 身体的；肉体的","e.g. And then there is our own body, our own [[corporeal]] instrument, which we're awfully proud of."
spectacle,"[C, U] an unusual, exciting, or impressive event or sight 壮观的景象；奇观",e.g. Watching a lion chasing its prey is one of nature's most exciting [[spectacles]].
float,move slowly on water or in the air 漂流；飘动,e.g. I looked up at the clouds [[floating]] in the sky.
crimson,dark purple-red in color 深红色的；绯红色的,"e.g. They walked past fields with huge sprays of [[crimson]], yellow and purple flowers."
partake,"(partook, partaken) (fml.) take part in an activity or event 参加；参与",e.g. Retailers who [[partake]] in the campaign should place a sticker on their window.
transformation,"a complete change into sb. / sth. very different, or the process during which this happens 彻底改观；变化过程","e.g. After three weeks, we noticed a total [[transformation]] in his behavior and attitude."
enchantment,[U] the quality of being very pleasant or attractive 迷人；魅力,"e.g. As the mountain path spirals up, the beauty of the scene fills each of us with [[enchantment]]."
dilate,"become bigger and wider, or make sth. do this （使）膨胀；（使）扩大",e.g. Red wine can help to [[dilate]] blood vessels.
conspire,secretly plan with sb. to do sth. bad or illegal 搞阴谋；密谋,e.g. The company is accused of [[conspiring]] with three other local stores to fix prices.
deify,treat sb. / sth. with extreme respect and admiration 崇拜；把···神化；把···奉若神明,"e.g. We are inclined to [[deify]] successful people, and in our time that certainly includes CEOs."
pomp,"[U] formal ceremony, esp. involving expensive clothes, special traditions, etc. 华典；盛典；盛况",e.g. She arrived at the airport without the [[pomp]] that usually accompanies important politicians.
faerie,[C] (also faery) a fairy 仙子；小精灵,
mystic,"(also mystical) involving religious, spiritual, or magical powers that people cannot understand 神奇的；神秘的",e.g. He has undergone a profound [[mystic]] experience over the past two months.
susceptibility,[U] the tendency to be easily affected or influenced by sth. 易受影响（或感染）的倾向；敏感性,e.g. One of the side effects of the drug is an increased [[susceptibility]] to infection.
flake,[C] a small thin piece that breaks away easily from sth. else 小薄片,"e.g. Toward the middle of the night, large [[flakes]] of snow began to fall swiftly."
modulate,"(fml.) change sth., esp. in order to achieve a particular effect 改变；调整",e.g. Teachers [[modulate]] the way they work in response to their students' needs.
tint,[C] a small amount of a particular color 浅色；淡色调,e.g. Green has many different shades and [[tints]].
repose,[U] a calm or relaxed state 安详；休息,e.g. The atmosphere in the hall is one of [[repose]] rather than excitement.
mill,[C] 磨坊,
spire,[C] （教堂或其他建筑物的）尖顶,
calix,(also calyx) (pl. calices) 花萼,
stubble,[U] （庄稼收割后遗留的）残株，茬,
rime,cover sth. with frost 使···蒙上白霜,e.g. He does not brush away the frost that [[rimes]] his beard.
mute,"not speaking, or not willing to speak 缄默的；无声的","e.g. Marianna, the king's daughter, became [[mute]] after a shock."
genial,friendly and kind 友好的；善良的,"e.g. He was a warm-hearted friend and [[genial]] host, liked by everyone he met."
behold,"(beheld, beheld) see sth. 看；看见","e.g. He looked up and [[beheld]] a stranger sitting across the table, smiling a secret smile."
glory,1) great beauty 壮丽；灿烂,e.g. It will cost millions of pounds to [[restore]] the castle into its former [[glory]].；e.g. Walsham had his moment of [[glory]] when he won a 20 km race last week in London.
glory,2) admiration and praise that you get because you have done sth. impressive 荣誉；光荣,e.g. It will cost millions of pounds to [[restore]] the castle into its former [[glory]].；e.g. Walsham had his moment of [[glory]] when he won a 20 km race last week in London.
gloom,[U] darkness in which it is difficult to see clearly 昏暗,"e.g. She peered into the [[gloom]], but she couldn't see where the noise was coming from."
alter,make sb. / sth. different 使变样；改变,e.g. This doesn't [[alter]] the fact that what you did was wrong. You'd better call him and apologize.
succession,[sing.] a series of people or things of the same type 一连串，一系列（同类型的人或物）,e.g. I can't understand why after graduation he took a [[succession]] of low-paid jobs.
pasture,"[C, U] 牧场",
tribe,1) a group of related animals or plants （动植物的）族，群,e.g. They didn't quite expect that this [[tribe]] of cats could give them so much trouble.；e.g. The elders in the [[tribe]] want to protect their traditional way of life.
tribe,"2) a social group consisting of people of the same race who have the same beliefs, language, etc. and usually live in one particular area ruled by their leader 部落",e.g. They didn't quite expect that this [[tribe]] of cats could give them so much trouble.；e.g. The elders in the [[tribe]] want to protect their traditional way of life.
punctual,arriving or happening at the time agreed on 按时的；准时的,e.g. She's always very [[punctual]] for appointments and because of this she is highly respected.
watercourse,[C] 河道；溪流,
pontederia,"[C, U] 梭鱼草",
pickerelweed,"[C, U] 小狗鱼草",
bloom,(of trees or plants) produce flower 开花,e.g. Most roses will begin to [[bloom]] from late May and the garden will be at its best.
swarm,"(of people, animals, etc.) move around in a large group （人、动物等）成群地来回移动",e.g. Every day tourists [[swarm]] through the narrow streets of the old city.
perpetual,continuing all the time 长期的；永恒的,e.g. I thought her [[perpetual]] complaints were going to prove too much for me.
gala,[C] a special performance or event to celebrate sth. 特别演出；欢庆活动；庆典,e.g. We ate dinner and watched the Spring Festival [[Gala]] together on New Year's Eve.
ornament,[C] a small attractive object used for decoration or for making sb. / sth. more beautiful 装饰品；点缀品,e.g. I guessed he was the chief because he wore more gold [[ornaments]] than the others.
dewy,wet with drops of dew 带露水的,"e.g. The grass was [[dewy]], the apples green, but already fragrant."
orchard,[C] 果园,
blossom,"[C, U] a flower on a tree, or all the flowers on a tree （一棵树上的）花，全部花朵",e.g. Rain begins to fall and peach trees are in [[blossom]].
mock,"(fml.) laugh at sb. / sth. in an unkind way, esp. by copying what they say or do 嘲弄；（通过模仿）取笑","e.g. The other children [[mocked]] the girl's French accent, laughing behind their hands."
mere,used to emphasize how small or unimportant sb. / sth. is 仅仅的，只不过（用于强调小或微不足道）,e.g. We don't consider our customers to be [[mere]] consumers; we consider them to be our friends.
tinsel,[U] （装饰用的）闪光纸,
