english,chinese,examples
derive,develop or come from sth. else 源自；源于,"e.g. This word is [[derived]] from Latin, meaning ""water.""；e.g. Medically, we will [[derive]] great benefit from the application of this technique."
derive,"vt.get sth., esp. an advantage or a pleasant feeling, from sth. 得到，获得（优势或愉快的感受）","e.g. This word is [[derived]] from Latin, meaning ""water.""；e.g. Medically, we will [[derive]] great benefit from the application of this technique."
arouse,1) make sb. feel sexually excited 激起···的性欲,e.g. His strange behavior at the meeting yesterday [[aroused]] my suspicion.
arouse,2) make sb. have a particular feeling or attitude 激起（感情、态度）,e.g. His strange behavior at the meeting yesterday [[aroused]] my suspicion.
cellular,consisting of or relating to the cells of plants or animals 由细胞组成的；细胞的,e.g. Researchers have been observing the course of the disease at the cellular level.
prompt,[C] （计算机屏幕上显示准备接受指令的）提示， 提示符,e.g. The computer program will [[prompt]] the user to enter data where it is required.
prompt,vt.make people say or do sth. as a reaction 引起，激起（某人说或做某事）,e.g. The computer program will [[prompt]] the user to enter data where it is required.
command,1) an instruction to a computer to do sth. 指令,e.g. Check that the computer has executed the [[commands]] that you typed in.；e.g. An officer stood on one of the tanks and began shouting [[commands]] through a loudspeaker.
command,2) an order that should be obeyed 命令；指示,e.g. Check that the computer has executed the [[commands]] that you typed in.；e.g. An officer stood on one of the tanks and began shouting [[commands]] through a loudspeaker.
recipient,(fml.) sb. who receives sth. 接受者；领受者,"e.g. I felt glad that I was a giver of pleasure, not merely a passive [[recipient]]."
circulation,"[U, sing.] the movement of blood around your body 血液循环",e.g. Stretching is a good way to relax muscles and to increase blood [[circulation]] during long-time air travel.
insulin,[U] 胰岛素,
glucose,[U] 葡萄糖,
testosterone,[U] 睾酮,
leptin,[U] 瘦蛋白,
overeat,"eat too much, or eat more than is healthy 吃得过多； 暴食",e.g. A woman who [[overeats]] during pregnancy can cause health problems for her child.
diffusely,over a wide area 弥漫地；扩散地；漫射地,"e.g. One weakness of the essay is that the information is given diffusely instead of in a certain section, thereby reducing the effective communication of ideas."
thyroid,[C] 甲状腺,
sluggish,"moving, reacting or working more slowly than normal and in a way that seems lazy 缓慢的；迟缓的；懒洋洋的",e.g. The company has been rather [[sluggish]] in responding to the rapid changes in technology.
oblivious,(not before noun) not knowing about or not noticing sth. that is happening around you 不知道的；未察觉到的,"e.g. He went on and on about how successful he was, [[oblivious]] to the fact that he had hurt her."
boost,increase or improve sth. and make it more successful 促进；推动；使兴旺,e.g. They won the semi-final and this [[boosted]] the morale (士气) of the team.
adrenaline,(also adrenalin) [U] 肾上腺素,
digit,[C] （从0到9的任何一个）数字,
ephemeral,existing or popular for only a short time 短暂的；只流行一时的,e.g. Many words appearing during that period were quite [[ephemeral]] and have passed into history.
inactivate,make inactive 使不活动；使不活跃,e.g. Researchers have identified antibodies (抗体) that [[inactivate]] the virus before it has the chance to change itself.
kidney,[C] 肾；肾脏,
exception,"[C, U] sb. / sth. that is not included in a general statement or does not follow a rule or pattern 例外；除外","e.g. Few guitarists can sing as well as they can play; however, he is an [[exception]]."
linger,"continue to exist, be noticeable, etc. for longer than is usual or desirable 继续留存（较惯常或理想的时间长）",e.g. The faint smell of her perfume [[lingered]] on in the room long after she had left.
