english,chinese,examples
galaxy,"[C] any of the large systems of stars, etc. in outer space 星系",e.g. Observations of distant [[galaxies]] indicate that they are moving away from us and the universe is expanding.
terrestrial,connected with the planet Earth 地球的；地球上的,"e.g. Technology gives us immense power over nature, and our decisions will affect all [[terrestrial]] life."
necessitate,(fml.) make it necessary for you to do sth. 使成为必需；需要,"e.g. Sales have dropped dramatically, [[necessitating]] big cuts in production and employment."
observational,relating to the watching of sb. / sth. in order to learn new things 观察的；观测的,"e.g. We film in an [[observational]] style, following events over a period of months to see how things turn out."
ingredient,"[C] one of the things from which sth. is made, esp. one of the foods that are used together to make a particular dish 成分；（尤指烹饪）原料",e.g. Meals are prepared by the chef on board using fresh [[ingredients]] which are bought daily.
orbit,v.travel in a curved path around a much larger object such as the Earth or the Sun 沿轨道运行；环绕···运行,"e.g. The Earth is one of several planets that [[orbit]] the Sun, and the Moon [[orbits]] around the Earth.；e.g. These planets have circular (环形的) [[orbits]] similar to the [[orbits]] of planets in our solar system."
orbit,n.[C] the curved path traveled by an object which is moving around another much larger object such as the Earth or the Sun （环绕地球、太阳等运行的）轨道,"e.g. The Earth is one of several planets that [[orbit]] the Sun, and the Moon [[orbits]] around the Earth.；e.g. These planets have circular (环形的) [[orbits]] similar to the [[orbits]] of planets in our solar system."
flare,1) [C]（太阳等恒星的）耀斑,e.g. A sudden [[flare]] of light caused her to raise her right arm protectively across her face.
flare,"2) [C, usu. sing.] a bright but unsteady light or flame that does not last long （短暂的）旺火；（摇曳的）光；（闪耀的）火光",e.g. A sudden [[flare]] of light caused her to raise her right arm protectively across her face.
strip,vt.remove sth. that is covering the surface of sth. else 剥去，除去（表面的东西）,e.g. I think we should [[strip]] the old paint off and see what the wood is like underneath.；e.g. The islands are separated by a narrow [[strip]] of water.
strip,"n.a long narrow area of land, sea, etc. （陆地、海域等）狭长地带；带状水域",e.g. I think we should [[strip]] the old paint off and see what the wood is like underneath.；e.g. The islands are separated by a narrow [[strip]] of water.
axis,"[C] (pl. axes) the imaginary line around which a large round object, such as the Earth, turns （旋转）轴；轴线",e.g. The Earth and many other planets in the solar system rotate on their [[axes]] and revolve around the Sun.
stabilize,"(BrE stabilise) become or make sth. become firm, steady and unlikely to change （使）稳定，稳固",e.g. He suffered a second heart attack two days ago but his condition has now [[stabilized]].
axial,of or related to an axis 轴的；轴线的,"e.g. The Moon's presence also slows the [[axial]] rotation of the Earth, which is why we could have 24-hour days."
tilt,"[C, U] a position in which one end or side of sth. is higher than the other; an act of tilting sth. to one side 倾斜；倾侧","e.g. Since childhood, we have been learning the languages of the eyes, the hands and those subtle [[tilts]] of the head."
shield,vt.protect sb. / sth. from being harmed or damaged 保护；保卫,e.g. He wrapped himself in his heavy coat and sat in the corner where the bamboo leaves [[shielded]] him from the wind.
shield,n.[C] 盾；盾牌,e.g. He wrapped himself in his heavy coat and sat in the corner where the bamboo leaves [[shielded]] him from the wind.
catastrophic,"causing a lot of destruction, suffering, or death 灾难性的；毁灭性的",e.g. The movie shows heroes risking their lives to save the Earth from a [[catastrophic]] collision with a comet (彗星).
proverbial,used when you describe sth. using part of a well-known expression 俗话说的；常言道,"e.g. There are some observers who make predictions all the time about economic recessions, the collapse of civil society, and the [[proverbial]] ""end of the world."""
exo-planet,[C] a planet that is not in the solar system 系外行星,e.g. Astronomers say that this unique observing technique opens a new phase in the exploration of [[exo-planets]].
astrobiology,[U] the branch of biology that investigates the possibility of life elsewhere in the universe 天体生物学,
preconception,"[C] a belief or opinion that you have already formed before you know the actual facts, and that may be wrong 事先形成的看法（想法）；先入之见；成见",e.g. Try to go into the meeting without too many [[preconceptions]] about what the other group wants.
hydrothermal,"of or relating to the action of water under conditions of high temperature, esp. in forming rocks and minerals 热液的",
vent,"[C] an opening that allows air, gas or liquid to pass out of or into a room, building, container, etc. （空气、气体、液体的）出口，进口，漏孔",e.g. Make sure that jars have tight lids and are kept away from sunlight and heating [[vents]].
absence,1) [U] the fact of sb. / sth. not existing or not being available; a lack of sth. 不存在；缺乏,e.g. The case was dismissed in the [[absence]] of any definite proof.；e.g. The smell of cigarette smoke confirmed what he had suspected: There had been a party in his [[absence]].
