english,chinese,examples
commencement,"1) [C, U] (AmE) a ceremony at which university, college, or high school students receive their diplomas（大学或高中的）毕业典礼",e.g. The high school [[commencement]] speaker was giving a rather inspiring address.；e.g. Would passengers please turn off their mobile phones before the [[commencement]] of the flight?
commencement,2) [U] the beginning of sth. 开始；开端,e.g. The high school [[commencement]] speaker was giving a rather inspiring address.；e.g. Would passengers please turn off their mobile phones before the [[commencement]] of the flight?
faculty,"1) [C, U] (AmE) all the teachers in a university （大学的）全体教员","e.g. A drop in enrollment (招生人数) will affect students, [[faculty]], and administrators.；e.g. These plans were part of a reorganization that divided the university into six [[faculties]]."
faculty,2) [C] a department or group of related departments within a university 系；部；院,"e.g. A drop in enrollment (招生人数) will affect students, [[faculty]], and administrators.；e.g. These plans were part of a reorganization that divided the university into six [[faculties]]."
confront,1) deal with a problem or difficult situation 处理，解决（问题或困境）,e.g. You must [[confront]] your fears and doubts and take risks again and again.；e.g. Here are some problems that have [[confronted]] scientists all over the world in the past decade.
confront,2) (of a problem or difficult situation) appear and need to be dealt with by sb. （问题或困境）临到···头上；使面对,e.g. You must [[confront]] your fears and doubts and take risks again and again.；e.g. Here are some problems that have [[confronted]] scientists all over the world in the past decade.
quitter,[C] (infml.) sb. who does not have the determination or courage to finish sth. that is difficult 遇到困难就放弃的人；半途而废的人,e.g. I have asked you to do this tough task because I know you are not a [[quitter]].
mediocre,not very good 不太好的,e.g. Tourists crowd the gift shops along the street to buy [[mediocre]] products at high prices.
slipshod,done too quickly and carelessly — used to show disapproval 马虎的，随便的，草率的（含贬义）,e.g. She complained that the research project was delayed mainly due to [[slipshod]] management.
forgiving,willing to forgive 宽容的；宽大的,e.g. The public was more [[forgiving]] of the president's mistakes than the press and fellow politicians.
deadline,[C] a date or time by which you have to do or complete sth. 截止时间；最后期限,"e.g. Without extra help, it's going to be very difficult for us to meet the Friday [[deadline]]."
garrulous,"talking too much, esp. about unimportant things （尤指对琐事）喋喋不休的，饶舌的",e.g. I had talked too much about myself and felt like a [[garrulous]] old fool.
toss,"throw sth., esp. sth. light, with a quick gentle movement of your hand 扔，掷，抛（尤指轻的东西）",e.g. She picked up the package and casually [[tossed]] it into her handbag.
dull,1) slow in understanding; stupid 迟钝的；愚笨的,"e.g. It's such a simple question. If you don't understand then you are [[duller]] than I thought.；e.g. The documentary lasts for more than two-and-a-half hours, and there is scarcely a [[dull]] minute."
dull,2) not interesting or exciting 无趣味的；不刺激的；不生动的,"e.g. It's such a simple question. If you don't understand then you are [[duller]] than I thought.；e.g. The documentary lasts for more than two-and-a-half hours, and there is scarcely a [[dull]] minute."
unimaginative,"not new, original, or clever; not showing any imagination 无创意的；缺乏想象力的",e.g. He simply couldn't understand why she thought him to be a stiff and [[unimaginative]] person.
fantasy,"[C, U] an exciting and unusual experience or situation that you imagine happening to you, but which will probably never happen 幻想；想象",e.g. Young children sometimes cannot distinguish between [[fantasy]] and reality.
pretense,"[U, sing.] (BrE pretence) a way of behaving which is intended to make people believe sth. that is not true 假装；作假；做作","e.g. Now that the [[pretense]] was over, he could tell them what he really thought."
conventional,(usu. before noun) following what is traditional or the way sth. has been done for a long time 依照传统的；符合习俗的,"e.g. It's not a hotel, in the [[conventional]] sense, but rather a whole village turned into a hotel."
spoil,"have a bad effect on sth. so that it is no longer attractive, enjoyable, useful, etc. 毁掉；糟蹋；破坏","e.g. They had an entire week, so there was no need to rush into a conversation that might [[spoil]] everything."
deprive,"(~ sb. of sth.) prevent sb. from having sth., esp. sth. that they need or should have 剥夺",e.g. Some people worry that the advances in information technology may [[deprive]] citizens of their privacy.
adequate,enough in quantity or of a good enough quality for a particular purpose 足够的；充分的；合乎需要的,e.g. The lunchtime menu is more than [[adequate]] to satisfy the biggest appetite.
attentive,1) helpful; making sure that people have what they need 关心的；肯帮忙的,"e.g. It is an excellent childcare center for babies as the staff are friendly, relaxed and [[attentive]].；e.g. People who watch news tend to be more [[attentive]] to what is on the screen."
attentive,2) listening or watching carefully and with interest 注意的；留心的；专心的,"e.g. It is an excellent childcare center for babies as the staff are friendly, relaxed and [[attentive]].；e.g. People who watch news tend to be more [[attentive]] to what is on the screen."
co-worker,[C] sb. who works with you and has a similar position 同事；同僚,e.g. The manual explains what to do if a [[co-worker]] is injured and in need of medical attention.
insult,offend sb. by saying or doing sth. they think is rude 侮辱；冒犯,"e.g. In some cultures, you [[insult]] your host if you do not accept their offer of food."
parlous,(fml.) in a very bad or dangerous condition 状况极坏的；非常危险的,e.g. Relations between the two countries have been in a [[parlous]] state for some time.
tolerate,"1) allow people to do, say, or believe sth. without criticizing or punishing them 容忍；宽容","e.g. According to the spokesperson, the government is not prepared to [[tolerate]] the situation any longer.；e.g. For years the workers have had to [[tolerate]] low wages and terrible working conditions."
tolerate,"2) be able to accept sth. unpleasant or difficult, even though you do not like it 忍受；忍耐","e.g. According to the spokesperson, the government is not prepared to [[tolerate]] the situation any longer.；e.g. For years the workers have had to [[tolerate]] low wages and terrible working conditions."
adolescent,"[C] a young person, usu. between the ages of 12 and 18, who is developing into an adult 青少年（常指12至18岁之间的人）",e.g. We know that [[adolescents]] are neither children nor adults and they have specific developmental needs.
unlearn,"(infml.) deliberately forget sth. you have learned, in order to change the way you do sth. 设法忘记，抛弃（已学会的东西）",e.g. You must start by [[unlearning]] all the bad habits your previous piano teacher taught you!
preparatory,(only before noun) done in order to get ready for sth. 预备的；准备的,e.g. Months of [[preparatory]] work needs to be done before construction work can really begin.
formulate,"1) think carefully about what to say, and say it clearly 仔细思考并明确表达","e.g. She has lots of good ideas, but she has difficulty [[formulating]] them in front of investors.；e.g. The city government is currently [[formulating]] policies on road expansion to solve traffic problems."
formulate,"2) develop sth. such as a plan or a set of rules, and decide all the details of how it will be done 规划；制定；准备","e.g. She has lots of good ideas, but she has difficulty [[formulating]] them in front of investors.；e.g. The city government is currently [[formulating]] policies on road expansion to solve traffic problems."
tolerant,"allowing people to do, say, or believe what they want without criticizing or punishing them 宽容的；容忍的","e.g. My friends are more [[tolerant]], more willing to accept me for what I am."
broaden,"increase sth. such as your knowledge, experience, or range of activities 增长（知识、经验等）；扩大（活动范围等）",e.g. The course helps school-leavers [[broaden]] their knowledge of the world of work.
supposedly,"used when saying what many people say or believe is true, esp. when you disagree with them 据说；据称；一般相信；一般看来",e.g. He was [[supposedly]] delivering some papers to her but I think it was just an excuse to see her.
erase,1) remove sth. completely 清除；消除；消灭,e.g. Mr. Woods wants a convincing victory to [[erase]] doubts about his team's ability.；e.g. It appears the names were accidentally [[erased]] from the computer hard drive.
erase,2) remove information from a computer memory or recorded sounds from a tape 删除（计算机文件）；抹去（磁带录音）,e.g. Mr. Woods wants a convincing victory to [[erase]] doubts about his team's ability.；e.g. It appears the names were accidentally [[erased]] from the computer hard drive.
semester,"[C] one of the two periods of time that a year at high schools and universities is divided into, esp. in the US（尤指美国中学和大学的）一学期，半学年",e.g. I was finishing my last [[semester]] in college and trying to look for a job in my hometown.
midterm,1) [C] (AmE) a test that students take in the middle of a semester or quarter 期中考试2) [U] the middle period of an elected government's time in power （政府任期的）中期,e.g. A commitment to making reforms to the care system will form part of tomorrow's [[midterm]] progress report.
final,1) (AmE) an important test that you take at the end of a particular class in high school or college（高中或大学的）期终考试,e.g. He's through to the men's tennis [[final]] for the first time in his career.
final,"2) the last and most important game, race, or set of games in a competition 决赛",e.g. He's through to the men's tennis [[final]] for the first time in his career.
due,(not before noun) expected to happen or arrive at a particular time 预定的；预期发生（到达）的,e.g. They suddenly gave up the deal the day before they were [[due]] to sign the contract.
drop out,leave a school or university before your course has finished 退学；辍学,"e.g. To everyone's surprise, Bill [[dropped]] out of college after his first year and joined a rock-and-roll band."
look back,think about sth. that happened in the past 回忆起；回顾,"e.g. When you [[look]] back on this experience in a year or two, it won't seem so bad."
the easy way out,what is easiest in a difficult situation 省事的做法,e.g. It is the easy way out to blame others for our failure though it doesn't make any sense.
act out,"express your feelings about sth. through your behavior or actions, esp. when you have been feeling angry or nervous 用行动来表现情绪（尤指愤怒或紧张）",e.g. These teenagers are likely to [[act]] out their feelings of insecurity by being moody and aggressive.
be rid of,have taken action so that sb. / sth. is no longer there to worry or annoy you 摆脱某人 / 某事物,e.g. He found his job tedious and time-consuming and he was glad to [[be]] [[rid]] of it.
pop into one's mind / head,suddenly think of sth. 突然冒出（想到）,e.g. List the product's strengths as well as weaknesses at random as they [[pop]] into your mind.
get away with,not to be caught or punished when you have done sth. wrong （做错事）不被发现，不受惩罚,e.g. It's time they put a stop to his bad behavior. He's been [[getting]] away with it for too long.
get down to,"start to direct your efforts and attention to sth., esp. work 开始认真对待；开始努力做",e.g. That's a tourism hotspot. I must [[get]] down to booking the hotel as soon as possible.
by no means,not at all 绝不；一点都不,e.g. It is by no means clear where the money is going to come from to fund this project.
Brown,(Brown University) 布朗大学（美国大学，位于罗得岛州）,
Carter A. Daniel,卡特 • A. 丹尼尔（人名）,
Rutgers University,罗格斯大学（美国大学，位于新泽西州）,
