english,chinese,examples
aviator,[C] a pilot 飞机驾驶员；飞行员,e.g. Amy Johnson was a pioneering [[aviator]] who made record-breaking flights to Australia and South Africa in the 1930s.
aircraft,[C] (pl. aircraft) a plane or other vehicle that can fly 飞机；航空器；飞行器,e.g. Commercial airlines often find it cheaper to park their [[aircraft]] at a storage facility than at an airport.
fashionable,"popular, esp. for a short period of time （尤指短期内）时髦的，流行的",e.g. Reading has become the [[fashionable]] educational activity for summer months with schools and libraries running reading challenges.
meaningless,having no purpose or importance and therefore not worth doing or having 无目的的；无意义的；无价值的；不重要的,e.g. He said a few [[meaningless]] words to his hostess and looked around the room.
functional,designed to be useful rather than beautiful or attractive 实用的,e.g. Their tips provide guidance to anyone looking to set up a smart and [[functional]] workspace at home.
accessory,"1) [usu. pl.] sth. such as a bag, belt, or jewelry that you wear or carry because it is attractive 装饰物，小配件（如手袋、皮带、珠宝等）","e.g. This store offers a wide range of clothing, shoes, and [[accessories]] for men, women, and children.；e.g. [[Accessories]] such as a carrying case and a battery recharger are free with the purchase of a cell phone."
accessory,"2) [usu. pl.] sth. such as a piece of equipment or a decoration that is not necessary, but that makes a machine, car, room, etc. more useful or more attractive 附件；配件；附属品","e.g. This store offers a wide range of clothing, shoes, and [[accessories]] for men, women, and children.；e.g. [[Accessories]] such as a carrying case and a battery recharger are free with the purchase of a cell phone."
apparel,[U] (fml.) clothes 衣服,e.g. They specialize in the supply of sports [[apparel]] such as sweatshirts and baseball caps to retail markets.
unremarked,(fml.) not noticed 不受注意的；未被注意的,e.g. There are many brave and admirable social workers doing [[unremarked]] work across the nation.
populate,(usu. passive) live in an area 居住于,e.g. The world's largest iceberg would possibly crash into an island [[populated]] by penguins and seals.
inclusion,"[U] the act of including sb. / sth. in a larger group or set, or the fact of being included in one 包含；包括",e.g. Evidence is needed to prove that the word has been used in a variety of different sources before it can be considered for [[inclusion]] in one of the dictionaries.
distinctly,1) very 十分,e.g. She is planning to travel to [[distinctly]] different destinations in pursuit of happiness and vision.；e.g. I [[distinctly]] remember asking him not to tell her about the new sales figures.
distinctly,2) clearly 清楚地；明显地,e.g. She is planning to travel to [[distinctly]] different destinations in pursuit of happiness and vision.；e.g. I [[distinctly]] remember asking him not to tell her about the new sales figures.
catalogue,vt.make a complete list of all the things in a group 为···编目录；把···列入目录中,"e.g. The works came to light during the 1950s, when they were [[catalogued]] in the museum's collection.；e.g. She uses an online [[catalogue]] to search for items by price or country, instead of the hard copies traditionally taken to auctions (拍卖会)."
catalogue,"n.[C] a complete list of things that you can look at, buy, or use, for example in a library or at an art show 目录","e.g. The works came to light during the 1950s, when they were [[catalogued]] in the museum's collection.；e.g. She uses an online [[catalogue]] to search for items by price or country, instead of the hard copies traditionally taken to auctions (拍卖会)."
curate,"choose and organize the art, music, objects, etc. for an exhibition, show, concert, etc. 策划组织（展览、表演、音乐会等）","e.g. Focused on artwork inspired by nature, this exhibition is [[curated]] by four high school students."
devoid,(fml.) (be ~ of sth.) completely lacking in sth. 毫无某物；完全没有某物,e.g. Milly is the most serious person I know — her stories are always completely [[devoid]] of humor.
affective,relating to or having an effect on the emotions 情感的,e.g. Studies in this area investigate how objects or messages can arouse [[affective]] reactions.
