english,chinese,examples
insightful,"able to understand, or showing that you understand, what a situation or person is really like 领悟力强的；富有洞察力的",e.g. We are always looking for more interesting and [[insightful]] ideas to share with our readers.
equilibrium,"[U, sing.] a balance between different people, groups, or forces that compete with each other, so that none is stronger than the others and the situation is not likely to change suddenly 平衡；均衡；均势",e.g. The point at which the solid and the liquid are in [[equilibrium]] is called the freezing point.
purely,completely and only 完全地；纯粹地；仅仅,e.g. The management committee decided to close the museum [[purely]] because it cost too much to run.
dilemma,"[C] a situation in which it is very difficult to decide what to do, because all the choices seem equally good or equally bad 进退两难的境地；困境",e.g. The [[dilemma]] over human cloning lies at the heart of the ethical choices facing society.
memorable,"very good, enjoyable, or unusual, and worth remembering 难忘的；值得纪念的","e.g. If you want to catch and save this [[memorable]] event in your life, bring your camera with you."
classical,widely accepted and used for a long time; traditional in style or idea 经典的；古典的；传统的,e.g. Adam Smith is considered one of the founders of [[classical]] economics.
collective,(only before noun) shared or made by every member of a group or society 集体的；共同的；共有的,e.g. I think it's our [[collective]] responsibility to create an environment for future generations to be even more successful.
welfare,[U] health and happiness 幸福；健康；福祉,e.g. Biological scientists have to consider the balance between human health and animal [[welfare]] as they push forward the frontiers of research.
allegory,"[C, U] a story, painting, etc. in which the events and characters represent ideas or teach a moral lesson 寓言；讽刺",e.g. The book is a kind of [[allegory]] of Latin American history.
invisible,impossible to see 看不见的；不可见的,e.g. This sophisticated technology allows scientists to find things that are [[invisible]] to the naked eye.
disastrous,"very bad, or ending in failure 灾难性的；以失败告终的","e.g. In some cases, lowering interest rates could have [[disastrous]] consequences for the economy."
burglar,"[C] sb. who goes into houses, shops, etc. to steal things 入室窃贼",e.g. A number of [[burglars]] broke into the gallery and stole dozens of priceless paintings.
accuse,say that you believe sb. is guilty of a crime or of doing sth. bad 控告；指控；指责,e.g. No one could ever [[accuse]] this government of not caring about the poor.
robbery,"[C, U] the crime of stealing money or things from a bank, shop, etc., esp. using violence 抢劫",e.g. The gang (犯罪团伙) admitted they had committed four recent bank [[robberies]].
confess,"admit, esp. to the police, that you have done sth. wrong or illegal （尤指向警方）坦白，招认，招供","e.g. Gabriele [[confessed]] to leaking copies of the documents to the press because he wanted to expose the ""evil and corruption"" in the company."
optimal,(fml.) the best or most suitable 最佳的；最适宜的,e.g. They insist their business idea is [[optimal]] and will be wildly acceptable to customers.
better off,"being in a better situation, if or after sth. happens 更好的",e.g. You'd be [[better]] off living on your own than quarreling all the time with your dad.
equivalent,"[C] sth. that has the same value, purpose, job, etc. as sth. else 同等物；等价物；对应物","e.g. Is there a French word that is the exact [[equivalent]] of the English word ""home""?"
comparative,measured or judged by how similar or different it is to sth. else; relative 比较而言的；相对的,"e.g. After living in poverty for most of his lifetime, he spent his last few years in [[comparative]] comfort."
emit,"send out gas, heat, light, sound, etc. 散发，发出（气、热、光、声音等）",e.g. The machine will [[emit]] a noisy sound when you press the red button.
inaction,[U] the fact that sb. is not doing anything （人）无行动，没反应,e.g. The city council was accused of [[inaction]] on the parking problem of the city.
CV,"[C] (curriculum vitae) a short written document that lists your education and previous jobs, which you send to employers when you are looking for a job 简历；履历",e.g. Applicants interested in applying for the position should submit their [[CVs]] no later than February 15.
entail,involve sth. as a necessary part or result 使必要；需要,e.g. The job of a dance teacher [[entails]] teaching students the technique and performance of dance movements.
inefficiency,"[C, U] the fact of not using time, money, energy, etc. in the best way 低效率",e.g. The conflict between management and workers makes for [[inefficiency]] in the workplace.
intervene,"become involved in an argument, fight, or other difficult situation in order to change what happens 干预；介入；插手",e.g. I don't usually like to [[intervene]] in disputes between husbands and wives.
intervention,"[C, U] the act of becoming involved in an argument, fight, or other difficult situation in order to change what happens 干涉；干预；介入",e.g. Repeated [[interventions]] on the currency markets have failed to prevent the value of the currency falling.
binding,that must be obeyed because it is accepted in law 有法律约束力的；必须遵守的,e.g. Participants in the world trade talks have agreed to negotiate specific [[binding]] commitments.
incentive,"[C, U] sth. that encourages you to work harder, start a new activity, etc. 刺激；动力；鼓励",e.g. There is little [[incentive]] for people to leave their cars at home when public transport remains so expensive.
take sth. as a given,"accept that sth. is true or exists, esp. when you are developing an idea or argument 认为某事理所当然如此；认为某事是想当然（尤用于得出观点）",e.g. The fact that people find change difficult is taken as a given.
come in,"be involved in a plan, deal, etc. 卷入；参与",e.g. We need some financial advice — that's where Kate [[comes]] in.
John Nash,约翰 • 纳什（美国数学家）,
Russell Crowe,罗素 • 克劳（澳大利亚演员）,
Adam Smith,亚当 • 斯密（苏格兰经济学家）,
