english,chinese,examples
computational,using computers 使用计算机的,e.g. Students may pursue research in any aspect of [[computational]] linguistics based on their own interest.
emergence,[U] when sth. begins to be known or noticed 出现；显现,e.g. Future research should look at the behavior and ecology of these worms to understand what caused the [[emergence]] of new species.
consciousness,"1) [C, U] mind and thoughts 思想；意识","e.g. The flow of everyday life provides a context in which individual human [[consciousness]] operates.；e.g. When the man finally regains [[consciousness]] and walks to a mirror, he is unsure of who he is."
consciousness,2) [U] the condition of being awake and able to understand what is happening around you 神志清醒,"e.g. The flow of everyday life provides a context in which individual human [[consciousness]] operates.；e.g. When the man finally regains [[consciousness]] and walks to a mirror, he is unsure of who he is."
subjective,"based on or influenced by personal feelings, tastes or opinions rather than facts 主观的",e.g. We know that taste in art is a [[subjective]] matter and differs from person to person.
quirk,"1) a strange habit or feature of sb.'s character, or a strange feature of sth. 怪癖；古怪","e.g. She took pride in her children's [[quirks]] and individuality, and made no effort to try to change them.；e.g. Years later, by a strange [[quirk]] of fate, she found herself sitting next to him on a plane."
quirk,2) sth. strange that happens by chance （偶然发生的）奇事，巧合,"e.g. She took pride in her children's [[quirks]] and individuality, and made no effort to try to change them.；e.g. Years later, by a strange [[quirk]] of fate, she found herself sitting next to him on a plane."
time-scale,[C] (esp. BrE) the period of time it takes for sth. to happen or be completed （做某事所需要的）时间，时段,e.g. The [[time-scale]] for completing the work would be fairly tight and we have to work hard.
empathise,"(AmE empathize) be able to understand sb. else's feelings, problems, etc., esp. because you have had similar experiences 同情；有同感；产生共鸣",e.g. My mother died last year so I can really [[empathise]] with what he's going through.
conceive,"think of a new idea, plan, etc. and develop it in your mind 构思，设想，想出（新的主意、计划等）",e.g. Scientists first [[conceived]] the idea of the atomic bomb in the 1930s.；e.g. Language may be [[conceived]] of as a process which arises from social interaction.
conceive,v.(fml.) imagine a particular situation or think about sth. in a particular way 想象；构想；设想,e.g. Scientists first [[conceived]] the idea of the atomic bomb in the 1930s.；e.g. Language may be [[conceived]] of as a process which arises from social interaction.
artefact,[C] (esp. BrE) (also artifact esp. AmE) an object such as a tool or weapon that was made in the past and is historically important 人工制品，手工艺品（有史学价值的工具、武器等）,e.g. The museum is well-known for having many [[artefacts]] dating back to prehistoric times.
coherent,"if a piece of writing, set of ideas, etc. is coherent, it is easy to understand because it is clear and reasonable （文章、观点等）连贯的，有条理的，一致的",e.g. It makes me crazy that the board seems to have no [[coherent]] plan for saving the company.
implausibly,in a way that is difficult to believe and therefore unlikely to be true 难以置信地；不可能真实地,"e.g. He argued, somewhat [[implausibly]], that the accident could not have been prevented."
misinterpretation,"[C, U] the act of forming a wrong understanding of sth. that is said or done, or an example of a wrong understanding 误解",e.g. It appears that this universally promoted idea was based on a [[misinterpretation]] of the test results.
authentically,in the traditional or original way 正宗地；原汁原味地,e.g. Consumers are increasingly interested in the [[authentically]] prepared food.
orchestra,[C] （大型的）管弦乐队,
symphony,[C] 交响乐；交响曲,
considerably,much; a lot 很；非常；相当大（多）地,e.g. Housing conditions in this area have improved [[considerably]] over the past few years.
acoustics,"1) [pl.] the shape and size of a room, which affect the way sound is heard in it （房间的）传声效果，音响效果",e.g. The auditorium has comfortable seating and modern [[acoustics]].
acoustics,2) [U] the scientific study of sound 声学,e.g. The auditorium has comfortable seating and modern [[acoustics]].
formalise,"(esp. BrE) (AmE formalize) make a plan, decision, or idea official, esp. by deciding and clearly describing all the details 使（计划、决定或想法）正式化；使定形；使具体化",e.g. Final arrangements for the takeover of the company have yet to be [[formalised]].
contextual,(usu. before noun) relating to a particular context 与上下文有关的,e.g. Now We need to examine the role of [[contextual]] factors directly and in more detail.
execute,1) do sth. that has been carefully planned 实行；执行,e.g. The job involves drawing up and [[executing]] a plan of nursing care.；e.g. Anyone caught trying to escape from that prison would be [[executed]].
execute,"2) kill sb., esp. legally as a punishment （尤指依法）将···处死",e.g. The job involves drawing up and [[executing]] a plan of nursing care.；e.g. Anyone caught trying to escape from that prison would be [[executed]].
formula,1) a list of the exact amounts of the ingredients that are used for making sth. 配方,e.g. The [[formulas]] for these drinks are closely guarded secrets of the company.；e.g. He developed a mathematical [[formula]] describing the distances of the planets from the Sun.
formula,2) a series of numbers or letters that represent a mathematical or scientific rule 公式；方程式；分子式,e.g. The [[formulas]] for these drinks are closely guarded secrets of the company.；e.g. He developed a mathematical [[formula]] describing the distances of the planets from the Sun.
artistic,1) relating to art or culture 美术的；艺术的,"e.g. According to a famous art critic, opinion about the [[artistic]] merit of his paintings has been mixed.；e.g. His friends are all [[artistic]] — they're painters, musicians, dancers, and writers."
artistic,"2) good at painting, drawing, or producing beautiful things 艺术精湛的；有艺术才华的","e.g. According to a famous art critic, opinion about the [[artistic]] merit of his paintings has been mixed.；e.g. His friends are all [[artistic]] — they're painters, musicians, dancers, and writers."
volition,"[U] (of one's own ~) (fml.) if you do sth. of your own volition, you do it because you want to, not because you are forced to 出于自愿","e.g. To everyone's astonishment, Helena left the company of her own [[volition]]."
procedural,(only before noun) (fml.) connected with a procedure 程序性的；手续上的,e.g. The business of the committee was delayed by [[procedural]] difficulties.
autonomous,1) (fml.) having the ability to work and make decisions by yourself without any help from anyone else 有自主能力的；自主的,e.g. It is teachers' responsibility to help children become [[autonomous]] learners.；e.g. Five provinces are to become [[autonomous]] regions in the new federal system of government.
autonomous,2) an autonomous place or organization is free to govern or control itself （地方或机构）自治的,e.g. It is teachers' responsibility to help children become [[autonomous]] learners.；e.g. Five provinces are to become [[autonomous]] regions in the new federal system of government.
interact,"if people interact with each other, they talk to each other, work together, etc. 交流；交往；互相来往",e.g. The little girl's teacher told her mom that she [[interacted]] well with the other children.
interactive,"1) an interactive computer program, television system, etc. allows you to communicate directly with it, and does things in reaction to your actions （计算机程序、电视系统等）交互的，互动的","e.g. This is an [[interactive]] museum where children can actively manipulate the exhibits.；e.g. Our school encourages [[interactive]] teaching methods, such as role playing."
interactive,2) involving talking and working together 合作的； 相互交流的,"e.g. This is an [[interactive]] museum where children can actively manipulate the exhibits.；e.g. Our school encourages [[interactive]] teaching methods, such as role playing."
eagerness,"[U] the state of wanting to do or have sth. very much, esp. sth. interesting or enjoyable 渴望",e.g. People were pushing each other out of the way in their [[eagerness]] to get to the front.
comprehension,[U] the ability to understand sth. 理解（力）,e.g. It's annoying that they don't have the least [[comprehension]] of what I'm trying to do.
as such,in the true or exact meaning of the word or phrase 从字面意义来看；严格地说,"e.g. There wasn't much vegetarian food as such, although there were several types of salads."
