english,chinese,examples
afflict,"(fml.) affect sb. / sth. in an unpleasant way, and make them suffer 折磨；使痛苦","e.g. I understand the burdens that [[afflict]] your family, and I pledge to you my efforts to help overcome them."
veiled,"(threat, attack, or warning) not direct but is easily understood （威胁、攻击或警告）隐含的，不明言的",e.g. They launched a thinly [[veiled]] attack on his ability as a leader.
conceal,prevent from being seen or discovered 隐瞒；掩盖,e.g. Why did you decide to [[conceal]] your true identity?
hasten,do or say sth. quickly or without delay 赶紧做（或说）,"e.g. I [[hastened]] to assure her that there was no danger of falling down from the bridge.；e.g. There are, in theory, many ways to [[hasten]] economic recovery after a financial crisis."
hasten,vt.make sth. happen faster or sooner 加速；加紧,"e.g. I [[hastened]] to assure her that there was no danger of falling down from the bridge.；e.g. There are, in theory, many ways to [[hasten]] economic recovery after a financial crisis."
forestall,prevent sth. from happening or prevent sb. from doing sth. by doing sth. first 预先阻止；在（他人）之前行动 ; 先发制人,e.g. My mother tells me that to [[forestall]] is better than to amend and prevention is better than cure.
tender,1) gentle and careful in a way that shows love 温柔的；体贴入微的,"e.g. He was a rebel, but a strong part of him was sensitive and [[tender]], just as his sister.；e.g. Cook for a minimum of two hours, or until the meat is [[tender]]."
tender,"2) (food) easily cut and eat, esp. because it has been well cooked （食物）软的，嫩的，易咀嚼的","e.g. He was a rebel, but a strong part of him was sensitive and [[tender]], just as his sister.；e.g. Cook for a minimum of two hours, or until the meat is [[tender]]."
weep,"(wept, wept) cry because you feel unhappy or have some other strong emotion 哭泣；流泪","e.g. Wonderfully melodic and tuneful, his songs have made the audience [[weep]]."
abandon,1) (~ yourself to sth.) feel an emotion so strongly that you let it control you completely 陷入（某种感情）,e.g. We are scared to [[abandon]] ourselves to our feelings in case we seem weak or out of control.；e.g. He can never forgive his mother because she [[abandoned]] him when he was five years old.
abandon,2) leave sb. when you should stay with them and look after them 抛弃；遗弃,e.g. We are scared to [[abandon]] ourselves to our feelings in case we seem weak or out of control.；e.g. He can never forgive his mother because she [[abandoned]] him when he was five years old.
abandonment,[U] a complete surrender of inhibitions 放任；放纵,"e.g. In some poetry, sensitivity, she suggests, ""has led to a dangerous [[abandonment]] to sensation."""
armchair,[C] 扶手椅,
exhaustion,[U] a feeling of being extremely tired and without energy 筋疲力尽；疲惫不堪,"e.g. Weak with [[exhaustion]], the climbers were finally rescued by a helicopter after being trapped in heavy snow."
haunt,1) continue to cause problems for a person or organization for a long time 缠扰；纠缠,e.g. The shame of being a bankrupt is likely to [[haunt]] Mr. Lucas for the rest of his life.；e.g. They say the prison is [[haunted]] by the ghosts of the men who died there.
haunt,"2) if the soul of a dead person haunts a place, it appears there often （鬼魂）经常出没于",e.g. The shame of being a bankrupt is likely to [[haunt]] Mr. Lucas for the rest of his life.；e.g. They say the prison is [[haunted]] by the ghosts of the men who died there.
wares,"[pl.] things that are for sale, usu. not in a shop （一般不在商店内出售的）商品，货物",e.g. The major off-line brands aren't promoting their [[wares]] on the Internet as much as expected.
faintly,"in a way that is difficult to see, hear, smell, etc. 不清楚地；模糊地","e.g. When the piano fell silent, the sound of the traffic echoed [[faintly]] in the room."
sparrow,[C] 麻雀,
twitter,(of birds) make a lot of short high sounds （鸟）鸣啭,
eaves,[pl.] 屋檐,
patch,[C] a small area of sth. that is different from the area around it （与周围部分不同的）小片，小块,e.g. Belinda watched a [[patch]] of sunlight move slowly across the wall.
cushion,[C] 垫子；靠垫；坐垫,
sob,[C] an act or sound of sobbing 抽噎（声）；啜泣（声）；呜咽（声）,"e.g. After a while, she began to [[sob]] again, burying her face in the pillow."
sob,vi.cry noisily while taking short breaths 抽噎；啜泣,"e.g. After a while, she began to [[sob]] again, burying her face in the pillow."
bespeak,"(bespoke, bespoken) show or suggest sth. 显示；表示","e.g. Her house, her clothes, her style of living, all [[bespeak]] an exceedingly good income."
repress,stop yourself from doing sth. you want to do 忍住；克制,"e.g. She could not [[repress]] a smile at this, but she answered only by nodding her head slightly."
repression,[U] the behavior of sb. who refuses to show or admit strong feelings that they have （对感情的）抑制，压抑,e.g. He told her that emotional [[repression]] was preventing her from understanding her own behavior.
gaze,[sing.] a long steady look 凝视；注视,e.g. She felt embarrassed under his steady [[gaze]].
yonder,over there 在那边（的）；在远处（的）,"e.g. Now look [[yonder]], just beyond the wooden post — there's a white cottage under the hill."
suspension,[U] when sth. is officially stopped for a period of time 暂停；中止,"e.g. Anyway, we have to admit that both sides are now working toward a [[suspension]] of hostility."
subtle,"not obvious, and therefore difficult to notice 细微的；微妙的；难以察觉的",e.g. I sensed a [[subtle]] change in his attitude toward us.
elusive,difficult to find or not often seen 难找的；不常见到的,e.g. Who can tell me how to catch the [[elusive]] charm of the original version in translation?
